Transaction Date,Balance,OriginalOrder
2017-03-20,25000.0,0.0
2017-03-21,24500.0,1.0
2017-03-22,24500.0,1.0
2017-03-23,98400.0,3.0
2017-03-24,98400.0,3.0
2017-03-25,98440.0,4.0
2017-03-26,98440.0,4.0
2017-03-27,98440.0,4.0
2017-03-28,98440.0,4.0
2017-03-29,98440.0,4.0
2017-03-30,98440.0,4.0
2017-03-31,98440.0,4.0
2017-04-01,97418.0,5.0
2017-04-02,97418.0,5.0
2017-04-03,98978.0,6.0
2017-04-04,98978.0,6.0
2017-04-05,98978.0,6.0
2017-04-06,98978.0,6.0
2017-04-07,98978.0,6.0
2017-04-08,98978.0,6.0
2017-04-09,98978.0,6.0
2017-04-10,98978.0,6.0
2017-04-11,98978.0,6.0
2017-04-12,98978.0,6.0
2017-04-13,98978.0,6.0
2017-04-14,98978.0,6.0
2017-04-15,98978.0,6.0
2017-04-16,98978.0,6.0
2017-04-17,98978.0,6.0
2017-04-18,98978.0,6.0
2017-04-19,98978.0,6.0
2017-04-20,98978.0,6.0
2017-04-21,98978.0,6.0
2017-04-22,98978.0,6.0
2017-04-23,98978.0,6.0
2017-04-24,98978.0,6.0
2017-04-25,98978.0,6.0
2017-04-26,98978.0,6.0
2017-04-27,98978.0,6.0
2017-04-28,98978.0,6.0
2017-04-29,98978.0,6.0
2017-04-30,98978.0,6.0
2017-05-01,95920.0,7.0
2017-05-02,95920.0,7.0
2017-05-03,95920.0,7.0
2017-05-04,95920.0,7.0
2017-05-05,95920.0,7.0
2017-05-06,95920.0,7.0
2017-05-07,95920.0,7.0
2017-05-08,95920.0,7.0
2017-05-09,95920.0,7.0
2017-05-10,95920.0,7.0
2017-05-11,95890.0,8.0
2017-05-12,95890.0,8.0
2017-05-13,95890.0,8.0
2017-05-14,95890.0,8.0
2017-05-15,95890.0,8.0
2017-05-16,95890.0,8.0
2017-05-17,95890.0,8.0
2017-05-18,95890.0,8.0
2017-05-19,95890.0,8.0
2017-05-20,95803.75,11.0
2017-05-21,95803.75,11.0
2017-05-22,95803.75,11.0
2017-05-23,95803.75,11.0
2017-05-24,95803.75,11.0
2017-05-25,95803.75,11.0
2017-05-26,95803.75,11.0
2017-05-27,95803.75,11.0
2017-05-28,95803.75,11.0
2017-05-29,95803.75,11.0
2017-05-30,95803.75,11.0
2017-05-31,95803.75,11.0
2017-06-01,92643.75,12.0
2017-06-02,92643.75,12.0
2017-06-03,92643.75,12.0
2017-06-04,92643.75,12.0
2017-06-05,92643.75,12.0
2017-06-06,92643.75,12.0
2017-06-07,92643.75,12.0
2017-06-08,92643.75,12.0
2017-06-09,92643.75,12.0
2017-06-10,92643.75,12.0
2017-06-11,92643.75,12.0
2017-06-12,92643.75,12.0
2017-06-13,92643.75,12.0
2017-06-14,92643.75,12.0
2017-06-15,92643.75,12.0
2017-06-16,92643.75,12.0
2017-06-17,92643.75,12.0
2017-06-18,92643.75,12.0
2017-06-19,92643.75,12.0
2017-06-20,92643.75,12.0
2017-06-21,92643.75,12.0
2017-06-22,92643.75,12.0
2017-06-23,92643.75,12.0
2017-06-24,92643.75,12.0
2017-06-25,93612.75,13.0
2017-06-26,93612.75,13.0
2017-06-27,93612.75,13.0
2017-06-28,93612.75,13.0
2017-06-29,93612.75,13.0
2017-06-30,93612.75,13.0
2017-07-01,93612.75,13.0
2017-07-02,93612.75,13.0
2017-07-03,93612.75,13.0
2017-07-04,93612.75,13.0
2017-07-05,93612.75,13.0
2017-07-06,93612.75,13.0
2017-07-07,93612.75,13.0
2017-07-08,93612.75,13.0
2017-07-09,93612.75,13.0
2017-07-10,93612.75,13.0
2017-07-11,93612.75,13.0
2017-07-12,93612.75,13.0
2017-07-13,93612.75,13.0
2017-07-14,93612.75,13.0
2017-07-15,93612.75,13.0
2017-07-16,93612.75,13.0
2017-07-17,93612.75,13.0
2017-07-18,93612.75,13.0
2017-07-19,93612.75,13.0
2017-07-20,93612.75,13.0
2017-07-21,93612.75,13.0
2017-07-22,93612.75,13.0
2017-07-23,93612.75,13.0
2017-07-24,93612.75,13.0
2017-07-25,93612.75,13.0
2017-07-26,93612.75,13.0
2017-07-27,93612.75,13.0
2017-07-28,93612.75,13.0
2017-07-29,93612.75,13.0
2017-07-30,93612.75,13.0
2017-07-31,93612.75,13.0
2017-08-01,90239.75,14.0
2017-08-02,90239.75,14.0
2017-08-03,90239.75,14.0
2017-08-04,90239.75,14.0
2017-08-05,90239.75,14.0
2017-08-06,90239.75,14.0
2017-08-07,90239.75,14.0
2017-08-08,90239.75,14.0
2017-08-09,90239.75,14.0
2017-08-10,90239.75,14.0
2017-08-11,90239.75,14.0
2017-08-12,90239.75,14.0
2017-08-13,90239.75,14.0
2017-08-14,90239.75,14.0
2017-08-15,90239.75,14.0
2017-08-16,90239.75,14.0
2017-08-17,90239.75,14.0
2017-08-18,90239.75,14.0
2017-08-19,90239.75,14.0
2017-08-20,90239.75,14.0
2017-08-21,90239.75,14.0
2017-08-22,90239.75,14.0
2017-08-23,90239.75,14.0
2017-08-24,90239.75,14.0
2017-08-25,90239.75,14.0
2017-08-26,90239.75,14.0
2017-08-27,90239.75,14.0
2017-08-28,90239.75,14.0
2017-08-29,90239.75,14.0
2017-08-30,90239.75,14.0
2017-08-31,90239.75,14.0
2017-09-01,87058.75,15.0
2017-09-02,87058.75,15.0
2017-09-03,87058.75,15.0
2017-09-04,87058.75,15.0
2017-09-05,87058.75,15.0
2017-09-06,87058.75,15.0
2017-09-07,87058.75,15.0
2017-09-08,87058.75,15.0
2017-09-09,87058.75,15.0
2017-09-10,87058.75,15.0
2017-09-11,87058.75,15.0
2017-09-12,87058.75,15.0
2017-09-13,87058.75,15.0
2017-09-14,87058.75,15.0
2017-09-15,87058.75,15.0
2017-09-16,87058.75,15.0
2017-09-17,87058.75,15.0
2017-09-18,87058.75,15.0
2017-09-19,87058.75,15.0
2017-09-20,87058.75,15.0
2017-09-21,87058.75,15.0
2017-09-22,87058.75,15.0
2017-09-23,87058.75,15.0
2017-09-24,87058.75,15.0
2017-09-25,87903.75,16.0
2017-09-26,87903.75,16.0
2017-09-27,87903.75,16.0
2017-09-28,87903.75,16.0
2017-09-29,87903.75,16.0
2017-09-30,87903.75,16.0
2017-10-01,82889.75,17.0
2017-10-02,82889.75,17.0
2017-10-03,82889.75,17.0
2017-10-04,82889.75,17.0
2017-10-05,82889.75,17.0
2017-10-06,82889.75,17.0
2017-10-07,82889.75,17.0
2017-10-08,82889.75,17.0
2017-10-09,82889.75,17.0
2017-10-10,82889.75,17.0
2017-10-11,82889.75,17.0
2017-10-12,82889.75,17.0
2017-10-13,82889.75,17.0
2017-10-14,82889.75,17.0
2017-10-15,82889.75,17.0
2017-10-16,82889.75,17.0
2017-10-17,82889.75,17.0
2017-10-18,82889.75,17.0
2017-10-19,82889.75,17.0
2017-10-20,82889.75,17.0
2017-10-21,82889.75,17.0
2017-10-22,82889.75,17.0
2017-10-23,82889.75,17.0
2017-10-24,82889.75,17.0
2017-10-25,82889.75,17.0
2017-10-26,82889.75,17.0
2017-10-27,82889.75,17.0
2017-10-28,82889.75,17.0
2017-10-29,82889.75,17.0
2017-10-30,82889.75,17.0
2017-10-31,82889.75,17.0
2017-11-01,76549.75,18.0
2017-11-02,76549.75,18.0
2017-11-03,76549.75,18.0
2017-11-04,76549.75,18.0
2017-11-05,76549.75,18.0
2017-11-06,76549.75,18.0
2017-11-07,76549.75,18.0
2017-11-08,76549.75,18.0
2017-11-09,76549.75,18.0
2017-11-10,76549.75,18.0
2017-11-11,76549.75,18.0
2017-11-12,76549.75,18.0
2017-11-13,76549.75,18.0
2017-11-14,76549.75,18.0
2017-11-15,76549.75,18.0
2017-11-16,76549.75,18.0
2017-11-17,76549.75,18.0
2017-11-18,76549.75,18.0
2017-11-19,76549.75,18.0
2017-11-20,76549.75,18.0
2017-11-21,76549.75,18.0
2017-11-22,76549.75,18.0
2017-11-23,76549.75,18.0
2017-11-24,76549.75,18.0
2017-11-25,76549.75,18.0
2017-11-26,76549.75,18.0
2017-11-27,76549.75,18.0
2017-11-28,76549.75,18.0
2017-11-29,76549.75,18.0
2017-11-30,76549.75,18.0
2017-12-01,70410.75,19.0
2017-12-02,70410.75,19.0
2017-12-03,70410.75,19.0
