date,amount,cumulative_amount
2024-03-20,704.0,704.0
2024-03-21,210.0,914.0
2024-03-22,946.3,1860.3
2024-03-23,0.0,1860.3
2024-03-24,0.0,1860.3
2024-03-25,0.0,1860.3
2024-03-26,0.0,1860.3
2024-03-27,0.0,1860.3
2024-03-28,0.0,1860.3
2024-03-29,0.0,1860.3
2024-03-30,450.22,2310.52
2024-03-31,0.0,2310.52
2024-04-01,0.0,2310.52
2024-04-02,1131.0,3441.52
2024-04-03,0.0,3441.52
2024-04-04,0.0,3441.52
2024-04-05,0.0,3441.52
2024-04-06,2260.21,5701.73
2024-04-07,62.91,5764.639999999999
2024-04-08,0.0,5764.639999999999
2024-04-09,0.0,5764.639999999999
2024-04-10,0.0,5764.639999999999
2024-04-11,0.0,5764.639999999999
2024-04-12,0.0,5764.639999999999
2024-04-13,1223.31,6987.949999999999
2024-04-14,0.0,6987.949999999999
2024-04-15,0.0,6987.949999999999
2024-04-16,0.0,6987.949999999999
2024-04-17,0.0,6987.949999999999
2024-04-18,0.0,6987.949999999999
2024-04-19,0.0,6987.949999999999
2024-04-20,408.0,7395.949999999999
2024-04-21,0.0,7395.949999999999
2024-04-22,0.0,7395.949999999999
2024-04-23,0.0,7395.949999999999
2024-04-24,0.0,7395.949999999999
2024-04-25,0.0,7395.949999999999
2024-04-26,0.0,7395.949999999999
2024-04-27,278.16,7674.109999999999
2024-04-28,0.0,7674.109999999999
2024-04-29,0.0,7674.109999999999
2024-04-30,0.0,7674.109999999999
2024-05-01,-2423.52,5250.589999999998
2024-05-02,-2354.31,2896.2799999999984
2024-05-03,-1027.12,1869.1599999999985
2024-05-04,343.78,2212.9399999999987
2024-05-05,-408.0,1804.9399999999987
2024-05-06,0.0,1804.9399999999987
2024-05-07,0.0,1804.9399999999987
2024-05-08,0.0,1804.9399999999987
2024-05-09,0.0,1804.9399999999987
2024-05-10,0.0,1804.9399999999987
2024-05-11,0.0,1804.9399999999987
2024-05-12,1250.0,3054.9399999999987
2024-05-13,0.0,3054.9399999999987
2024-05-14,0.0,3054.9399999999987
2024-05-15,0.0,3054.9399999999987
2024-05-16,0.0,3054.9399999999987
2024-05-17,0.0,3054.9399999999987
2024-05-18,544.01,3598.949999999999
2024-05-19,0.0,3598.949999999999
2024-05-20,798.0,4396.949999999999
2024-05-21,0.0,4396.949999999999
2024-05-22,697.66,5094.609999999999
2024-05-23,6468.0,11562.609999999999
2024-05-24,0.0,11562.609999999999
2024-05-25,39453.41,51016.020000000004
2024-05-26,0.0,51016.020000000004
2024-05-27,0.0,51016.020000000004
2024-05-28,0.0,51016.020000000004
2024-05-29,0.0,51016.020000000004
2024-05-30,0.0,51016.020000000004
2024-05-31,0.0,51016.020000000004
2024-06-01,0.0,51016.020000000004
2024-06-02,-1000.0,50016.020000000004
2024-06-03,-2052.94,47963.08
2024-06-04,0.0,47963.08
2024-06-05,0.0,47963.08
2024-06-06,0.0,47963.08
2024-06-07,0.0,47963.08
2024-06-08,223.77,48186.85
2024-06-09,0.0,48186.85
2024-06-10,0.0,48186.85
2024-06-11,0.0,48186.85
2024-06-12,0.0,48186.85
2024-06-13,0.0,48186.85
2024-06-14,0.0,48186.85
2024-06-15,479.0,48665.85
2024-06-16,0.0,48665.85
2024-06-17,0.0,48665.85
2024-06-18,0.0,48665.85
2024-06-19,0.0,48665.85
2024-06-20,0.0,48665.85
2024-06-21,0.0,48665.85
2024-06-22,0.0,48665.85
2024-06-23,0.0,48665.85
2024-06-24,2069.0,50734.85
2024-06-25,0.0,50734.85
2024-06-26,0.0,50734.85
2024-06-27,0.0,50734.85
2024-06-28,0.0,50734.85
2024-06-29,0.0,50734.85
2024-06-30,0.0,50734.85
2024-07-01,0.0,50734.85
2024-07-02,-15807.11,34927.74
2024-07-03,-15000.0,19927.739999999998
2024-07-04,-7386.85,12540.889999999998
2024-07-05,-5000.0,7540.889999999998
2024-07-06,-5000.0,2540.8899999999976
2024-07-07,0.0,2540.8899999999976
2024-07-08,0.0,2540.8899999999976
2024-07-09,784.0,3324.8899999999976
2024-07-10,0.0,3324.8899999999976
2024-07-11,0.0,3324.8899999999976
2024-07-12,0.0,3324.8899999999976
2024-07-13,0.0,3324.8899999999976
2024-07-14,169.0,3493.8899999999976
2024-07-15,0.0,3493.8899999999976
2024-07-16,0.0,3493.8899999999976
2024-07-17,62.76,3556.649999999998
2024-07-18,0.0,3556.649999999998
2024-07-19,0.0,3556.649999999998
2024-07-20,500.0,4056.649999999998
2024-07-21,0.0,4056.649999999998
2024-07-22,0.0,4056.649999999998
2024-07-23,0.0,4056.649999999998
2024-07-24,0.0,4056.649999999998
2024-07-25,0.0,4056.649999999998
2024-07-26,0.0,4056.649999999998
2024-07-27,0.0,4056.649999999998
2024-07-28,0.0,4056.649999999998
2024-07-29,0.0,4056.649999999998
2024-07-30,0.0,4056.649999999998
2024-07-31,0.0,4056.649999999998
2024-08-01,0.0,4056.649999999998
2024-08-02,0.0,4056.649999999998
2024-08-03,1211.03,5267.679999999998
2024-08-04,-1003.0,4264.679999999998
2024-08-05,-1497.0,2767.6799999999976
2024-08-06,0.0,2767.6799999999976
2024-08-07,0.0,2767.6799999999976
2024-08-08,1550.0,4317.679999999998
2024-08-09,800.0,5117.679999999998
2024-08-10,0.0,5117.679999999998
2024-08-11,0.0,5117.679999999998
2024-08-12,0.0,5117.679999999998
2024-08-13,0.0,5117.679999999998
2024-08-14,0.0,5117.679999999998
2024-08-15,0.0,5117.679999999998
2024-08-16,499.0,5616.679999999998
2024-08-17,0.0,5616.679999999998
2024-08-18,0.0,5616.679999999998
2024-08-19,0.0,5616.679999999998
2024-08-20,0.0,5616.679999999998
2024-08-21,859.0,6475.679999999998
2024-08-22,0.0,6475.679999999998
2024-08-23,607.0,7082.679999999998
2024-08-24,0.0,7082.679999999998
2024-08-25,294.99,7377.669999999997
2024-08-26,10000.0,17377.67
2024-08-27,0.0,17377.67
2024-08-28,0.0,17377.67
2024-08-29,0.0,17377.67
2024-08-30,0.0,17377.67
2024-08-31,0.0,17377.67
2024-09-01,1300.0,18677.67
2024-09-02,0.0,18677.67
2024-09-03,-2003.6799999999998,16673.989999999998
2024-09-04,-1000.0,15673.989999999998
2024-09-05,-1000.0,14673.989999999998
2024-09-06,-1611.0,13062.989999999998
2024-09-07,64.1,13127.089999999998
2024-09-08,0.0,13127.089999999998
2024-09-09,0.0,13127.089999999998
2024-09-10,0.0,13127.089999999998
2024-09-11,0.0,13127.089999999998
2024-09-12,0.0,13127.089999999998
2024-09-13,0.0,13127.089999999998
2024-09-14,0.0,13127.089999999998
2024-09-15,114.42,13241.509999999998
2024-09-16,0.0,13241.509999999998
2024-09-17,0.0,13241.509999999998
2024-09-18,0.0,13241.509999999998
2024-09-19,0.0,13241.509999999998
2024-09-20,0.0,13241.509999999998
2024-09-21,142.18,13383.689999999999
2024-09-22,0.0,13383.689999999999
2024-09-23,0.0,13383.689999999999
2024-09-24,0.0,13383.689999999999
2024-09-25,0.0,13383.689999999999
2024-09-26,0.0,13383.689999999999
2024-09-27,0.0,13383.689999999999
2024-09-28,0.0,13383.689999999999
2024-09-29,0.0,13383.689999999999
2024-09-30,0.0,13383.689999999999
2024-10-01,0.0,13383.689999999999
2024-10-02,196.0,13579.689999999999
2024-10-03,-2639.51,10940.179999999998
2024-10-04,-1001.0,9939.179999999998
2024-10-05,-494.53,9444.649999999998
2024-10-06,-1000.0,8444.649999999998
2024-10-07,-6201.0,2243.649999999998
2024-10-08,0.0,2243.649999999998
2024-10-09,0.0,2243.649999999998
2024-10-10,0.0,2243.649999999998
2024-10-11,0.0,2243.649999999998
2024-10-12,2151.0,4394.649999999998
2024-10-13,0.0,4394.649999999998
2024-10-14,0.0,4394.649999999998
2024-10-15,0.0,4394.649999999998
2024-10-16,-256.0,4138.649999999998
2024-10-17,0.0,4138.649999999998
2024-10-18,0.0,4138.649999999998
2024-10-19,0.0,4138.649999999998
2024-10-20,0.0,4138.649999999998
2024-10-21,0.0,4138.649999999998
2024-10-22,0.0,4138.649999999998
2024-10-23,0.0,4138.649999999998
2024-10-24,0.0,4138.649999999998
2024-10-25,0.0,4138.649999999998
2024-10-26,0.0,4138.649999999998
2024-10-27,0.0,4138.649999999998
2024-10-28,0.0,4138.649999999998
2024-10-29,0.0,4138.649999999998
2024-10-30,297.0,4435.649999999998
2024-10-31,0.0,4435.649999999998
2024-11-01,-806.89,3628.759999999998
2024-11-02,-1000.0,2628.759999999998
2024-11-03,-2142.0,486.75999999999794
2024-11-04,0.0,486.75999999999794
2024-11-05,0.0,486.75999999999794
2024-11-06,0.0,486.75999999999794
2024-11-07,0.0,486.75999999999794
2024-11-08,0.0,486.75999999999794
2024-11-09,0.0,486.75999999999794
2024-11-10,0.0,486.75999999999794
2024-11-11,0.0,486.75999999999794
2024-11-12,1289.0,1775.759999999998
2024-11-13,0.0,1775.759999999998
2024-11-14,0.0,1775.759999999998
2024-11-15,0.0,1775.759999999998
2024-11-16,1099.0,2874.759999999998
2024-11-17,0.0,2874.759999999998
2024-11-18,0.0,2874.759999999998
2024-11-19,0.0,2874.759999999998
2024-11-20,0.0,2874.759999999998
2024-11-21,0.0,2874.759999999998
2024-11-22,0.0,2874.759999999998
2024-11-23,0.0,2874.759999999998
2024-11-24,0.0,2874.759999999998
2024-11-25,0.0,2874.759999999998
2024-11-26,0.0,2874.759999999998
2024-11-27,0.0,2874.759999999998
2024-11-28,0.0,2874.759999999998
2024-11-29,0.0,2874.759999999998
2024-11-30,0.0,2874.759999999998
2024-12-01,0.0,2874.759999999998
2024-12-02,0.0,2874.759999999998
2024-12-03,-2874.76,-2.2737367544323206e-12
2024-12-04,0.0,-2.2737367544323206e-12
2024-12-05,0.0,-2.2737367544323206e-12
2024-12-06,0.0,-2.2737367544323206e-12
2024-12-07,0.0,-2.2737367544323206e-12
2024-12-08,0.0,-2.2737367544323206e-12
2024-12-09,0.0,-2.2737367544323206e-12
2024-12-10,0.0,-2.2737367544323206e-12
2024-12-11,0.0,-2.2737367544323206e-12
2024-12-12,0.0,-2.2737367544323206e-12
2024-12-13,0.0,-2.2737367544323206e-12
2024-12-14,0.0,-2.2737367544323206e-12
2024-12-15,0.0,-2.2737367544323206e-12
2024-12-16,0.0,-2.2737367544323206e-12
2024-12-17,0.0,-2.2737367544323206e-12
