Month,Dividend Date,Symbol,Total Shares,Dividend Amount
May,2024-05-31,CAPLIPOINT,27,2.5
May,2024-05-31,MUTHOOTFIN,17,24.0
June,2024-06-14,BSE,23,5.0
June,2024-06-18,HDFCAMC,10,70.0
June,2024-06-28,KPIL,100,8.0
July,2024-07-04,TATAPOWER,540,2.0
July,2024-07-05,REDINGTON,301,6.2
July,2024-07-19,JSWINFRA,126,0.55
July,2024-07-23,SHRIRAMFIN,25,3.0
July,2024-07-24,FIEMIND,130,20.0
July,2024-07-24,FORTIS,53,1.0
July,2024-07-29,ORIENTCEM,101,1.5
July,2024-07-31,AARTIPHARM,71,1.0
August,2024-08-01,NAVA,112,2.0
August,2024-08-06,TDPOWERSYS,600,0.6
August,2024-08-09,ENDURANCE,17,8.5
August,2024-08-09,NETWEB,50,2.0
August,2024-08-22,IRFC,936,0.7
August,2024-08-28,GVT&D,18,2.0
August,2024-08-30,NAVA,112,2.0
September,2024-09-03,GANECOS,223,3.0
September,2024-09-06,TRITURBINE,217,1.3
September,2024-09-06,ZENTEC,50,1.0
September,2024-09-10,SYRMA,234,1.5
September,2024-09-11,POCL,149,2.5
September,2024-09-12,SKIPPER,528,0.1
September,2024-09-19,JASH,329,1.44
September,2024-09-20,POWERMECH,44,1.0
September,2024-09-23,CAPLIPOINT,27,2.5
September,2024-09-23,GENUSPOWER,542,0.6
September,2024-09-23,HPL,293,1.0
September,2024-09-23,SHAKTIPUMP,695,0.666667
November,2024-11-07,SHRIRAMFIN,25,4.4
November,2024-11-11,TDPOWERSYS,600,0.6
November,2024-11-12,IRFC,936,0.8
November,2024-11-26,GANECOS,223,1.5
January,2025-01-16,CESC,178,4.5
January,2025-01-31,SHRIRAMFIN,25,2.5
February,2025-02-06,TRITURBINE,217,2.0
February,2025-02-14,AARTIPHARM,71,2.5
February,2025-02-14,PREMIERENE,226,0.5
March,2025-03-10,JASH,329,0.8
March,2025-03-21,IRFC,936,0.8
