Date,Closing Balance
27/09/07,19453
28/09/07,18453
02/10/07,18077
02/10/07,17077
07/10/07,14577
07/10/07,14273
10/10/07,11673
12/10/07,11173
15/10/07,10173
20/10/07,9773
23/10/07,9373
24/10/07,1373
26/10/07,1073
31/10/07,18806
01/11/07,18531
02/11/07,16531
03/11/07,16131
03/11/07,16531
03/11/07,16131
12/11/07,17631
12/11/07,17531
13/11/07,17031
20/11/07,15131
26/11/07,15142.28
28/11/07,1142.28
30/11/07,1042.28
30/11/07,19790.28
01/12/07,18790.28
07/12/07,16290.28
09/12/07,16190.28
10/12/07,16146.28
16/12/07,15946.28
16/12/07,14046.28
20/12/07,12519.28
20/12/07,10819.28
20/12/07,10419.28
22/12/07,10019.28
28/12/07,9919.28
29/12/07,8919.28
31/12/07,34616.28
01/01/08,34649.26
04/01/08,9649.26
08/01/08,10649.26
18/01/08,9149.26
21/01/08,6714.26
21/01/08,6514.26
22/01/08,6314.26
27/01/08,6114.26
27/01/08,5914.26
30/01/08,5714.26
31/01/08,23287.26
02/02/08,22287.26
08/02/08,15787.26
12/02/08,15587.26
16/02/08,15387.26
21/02/08,11229.26
25/02/08,13229.26
25/02/08,15229.26
25/02/08,17229.26
25/02/08,19229.26
25/02/08,21229.26
25/02/08,22029.26
26/02/08,21729.26
29/02/08,39916.26
01/03/08,39616.26
03/03/08,9616.26
05/03/08,8689.76
05/03/08,8489.76
06/03/08,5989.76
07/03/08,5789.76
09/03/08,5589.76
12/03/08,4989.76
14/03/08,4789.76
31/03/08,38117.76
01/04/08,38180.63
01/04/08,37980.63
03/04/08,37780.63
05/04/08,37680.63
05/04/08,37480.63
08/04/08,36480.63
11/04/08,36280.63
16/04/08,33580.63
17/04/08,26880.63
19/04/08,6880.63
19/04/08,1880.63
21/04/08,1196.63
24/04/08,996.63
28/04/08,796.63
30/04/08,19544.63
02/05/08,18444.63
02/05/08,19544.63
02/05/08,18044.63
06/05/08,15844.63
13/05/08,6844.63
14/05/08,6583.63
14/05/08,6383.63
15/05/08,15383.63
16/05/08,15183.63
23/05/08,14183.63
23/05/08,13183.63
23/05/08,12183.63
30/05/08,32062.63
04/06/08,31462.63
04/06/08,30045.63
06/06/08,28045.63
06/06/08,27045.63
07/06/08,25345.63
11/06/08,24345.63
16/06/08,25345.63
17/06/08,25245.63
20/06/08,25045.63
27/06/08,24845.63
30/06/08,59308.63
01/07/08,59399.68
04/07/08,58300.18
05/07/08,58100.18
08/07/08,56100.18
08/07/08,55100.18
09/07/08,55000.18
11/07/08,54500.18
13/07/08,54000.18
31/07/08,79799.18
01/08/08,79599.18
04/08/08,77599.18
06/08/08,77399.18
06/08/08,75509.64
10/08/08,75209.64
10/08/08,74909.64
13/08/08,74609.64
20/08/08,73609.64
21/08/08,73409.64
22/08/08,69319.64
26/08/08,39319.64
29/08/08,59198.64
01/09/08,51198.64
01/09/08,50998.64
05/09/08,50115.12
06/09/08,46815.12
19/09/08,46615.12
21/09/08,46115.12
24/09/08,50915.12
26/09/08,84297.12
30/09/08,83297.12
30/09/08,81297.12
30/09/08,81706.06
01/10/08,81206.06
02/10/08,80206.06
04/10/08,79706.06
12/10/08,79406.06
15/10/08,79169.06
15/10/08,79157.83
16/10/08,72576.83
17/10/08,67635.54
22/10/08,67645.54
23/10/08,67623.07
23/10/08,67123.07
30/10/08,66623.07
30/10/08,66123.07
31/10/08,86002.07
03/11/08,84002.07
04/11/08,85502.07
04/11/08,88502.07
07/11/08,88302.07
09/11/08,88002.07
11/11/08,78755.31
17/11/08,77755.31
17/11/08,77655.31
21/11/08,74655.31
27/11/08,64655.31
29/11/08,100849.31
05/12/08,97808.75
10/12/08,97508.75
12/12/08,97008.75
12/12/08,96008.75
13/12/08,95008.75
15/12/08,94008.75
16/12/08,66008.75
17/12/08,65008.75
20/12/08,63508.75
25/12/08,62508.75
27/12/08,62308.75
29/12/08,62108.75
29/12/08,22108.75
31/12/08,55541.75
31/12/08,55341.75
01/01/09,55788.79
02/01/09,55488.79
04/01/09,55288.79
04/01/09,53788.79
09/01/09,53488.79
09/01/09,51488.79
12/01/09,51288.79
13/01/09,55028.79
14/01/09,54828.79
18/01/09,54628.79
26/01/09,54428.79
30/01/09,78207.79
02/02/09,76207.79
03/02/09,75707.79
03/02/09,74707.79
03/02/09,54707.79
05/02/09,54507.79
07/02/09,54307.79
07/02/09,54107.79
09/02/09,44107.79
09/02/09,43907.79
