Transaction Date,Balance
07-Mar-24,"25,000.00"
08-Mar-24,"5,25,000.00"
08-Mar-24,"10,25,000.00"
08-Mar-24,"13,06,199.34"
10-Mar-24,"12,26,199.34"
10-Mar-24,"12,18,199.34"
13-Mar-24,"12,69,782.47"
17-Mar-24,"12,61,782.47"
21-Mar-24,"12,99,522.48"
22-Mar-24,"7,99,522.48"
26-Mar-24,"7,91,522.48"
28-Mar-24,"7,36,007.48"
29-Mar-24,"9,84,318.25"
31-Mar-24,"9,88,275.25"
02-Apr-24,"9,80,275.25"
02-Apr-24,"10,03,612.40"
03-Apr-24,"12,03,612.40"
03-Apr-24,"14,91,074.50"
06-Apr-24,"12,41,074.50"
09-Apr-24,"12,33,074.50"
10-Apr-24,"11,53,074.50"
10-Apr-24,"14,39,330.70"
16-Apr-24,"14,31,330.70"
23-Apr-24,"14,23,330.70"
23-Apr-24,"13,53,330.70"
25-Apr-24,"13,63,109.83"
28-Apr-24,"13,03,109.83"
30-Apr-24,"15,55,513.83"
30-Apr-24,"15,62,068.83"
01-May-24,"15,55,093.88"
02-May-24,"15,47,093.88"
03-May-24,"14,97,093.88"
03-May-24,"14,82,093.88"
04-May-24,"11,82,093.88"
04-May-24,"12,06,205.34"
06-May-24,"11,98,205.34"
10-May-24,"11,18,205.34"
10-May-24,"11,03,400.34"
10-May-24,"10,93,086.06"
12-May-24,"10,85,086.06"
14-May-24,"10,99,891.06"
15-May-24,"11,04,673.27"
19-May-24,"10,96,673.27"
26-May-24,"10,88,673.27"
28-May-24,"10,28,673.27"
31-May-24,"13,27,623.37"
31-May-24,"13,33,120.37"
01-Jun-24,"13,28,953.37"
02-Jun-24,"13,20,953.37"
02-Jun-24,"12,99,329.37"
03-Jun-24,"12,24,329.37"
05-Jun-24,"12,40,152.69"
09-Jun-24,"12,32,152.69"
10-Jun-24,"11,52,152.69"
10-Jun-24,"10,92,152.69"
10-Jun-24,"10,93,701.69"
11-Jun-24,"11,03,387.94"
12-Jun-24,"10,93,387.94"
14-Jun-24,"11,05,663.41"
16-Jun-24,"10,97,663.41"
23-Jun-24,"10,89,663.41"
28-Jun-24,"10,29,663.41"
28-Jun-24,"12,45,926.70"
30-Jun-24,"12,37,926.70"
30-Jun-24,"12,43,221.70"
01-Jul-24,"12,39,054.70"
07-Jul-24,"12,31,054.70"
10-Jul-24,"11,51,054.70"
13-Jul-24,"11,54,054.70"
14-Jul-24,"11,46,054.70"
14-Jul-24,"11,51,054.70"
17-Jul-24,"12,30,111.08"
19-Jul-24,"10,67,111.08"
20-Jul-24,"11,43,111.08"
21-Jul-24,"11,35,111.08"
21-Jul-24,"11,05,081.08"
28-Jul-24,"10,45,081.08"
28-Jul-24,"10,37,081.08"
31-Jul-24,"12,96,193.14"
31-Jul-24,"13,01,606.14"
01-Aug-24,"12,97,439.14"
04-Aug-24,"12,89,439.14"
08-Aug-24,"11,89,439.14"
10-Aug-24,"11,09,439.14"
10-Aug-24,"11,34,577.86"
11-Aug-24,"11,26,577.86"
13-Aug-24,"11,42,577.86"
18-Aug-24,"11,34,577.86"
25-Aug-24,"11,26,577.86"
28-Aug-24,"10,66,577.86"
28-Aug-24,"13,02,577.86"
29-Aug-24,"13,03,177.86"
30-Aug-24,"15,65,345.90"
31-Aug-24,"15,71,006.90"
01-Sep-24,"15,66,839.90"
01-Sep-24,"15,58,839.90"
02-Sep-24,"15,37,215.90"
04-Sep-24,"13,37,215.90"
04-Sep-24,"12,87,215.90"
06-Sep-24,"13,53,215.90"
08-Sep-24,"13,45,215.90"
11-Sep-24,"9,80,515.90"
11-Sep-24,"9,95,495.90"
11-Sep-24,"10,10,475.90"
12-Sep-24,"9,30,475.90"
13-Sep-24,"11,25,215.90"
13-Sep-24,"11,30,046.81"
14-Sep-24,"12,70,046.81"
14-Sep-24,"12,14,696.81"
15-Sep-24,"12,06,696.81"
18-Sep-24,"9,66,696.81"
21-Sep-24,"12,06,696.81"
22-Sep-24,"11,98,696.81"
27-Sep-24,"12,01,696.81"
28-Sep-24,"11,41,696.81"
29-Sep-24,"11,33,696.81"
30-Sep-24,"13,83,812.30"
30-Sep-24,"13,89,378.30"
01-Oct-24,"13,85,211.30"
06-Oct-24,"13,75,211.30"
07-Oct-24,"12,75,211.30"
09-Oct-24,"12,77,069.08"
12-Oct-24,"11,77,069.08"
12-Oct-24,"12,77,069.08"
13-Oct-24,"12,67,069.08"
14-Oct-24,"11,67,069.08"
14-Oct-24,"11,60,069.08"
15-Oct-24,"11,66,069.08"
20-Oct-24,"11,56,069.08"
23-Oct-24,"10,28,542.08"
25-Oct-24,"10,08,542.08"
26-Oct-24,"11,24,542.08"
27-Oct-24,"11,14,542.08"
28-Oct-24,"10,54,542.08"
28-Oct-24,"11,02,355.55"
29-Oct-24,"8,94,931.55"
30-Oct-24,"11,53,968.07"
30-Oct-24,"13,90,968.07"
30-Oct-24,"15,97,968.07"
31-Oct-24,"16,17,968.07"
31-Oct-24,"16,23,752.07"
