Dividend Date,Symbol,Total Shares,Dividend Amount
06/08/24,TDPOWERSYS,594,0.6
08/08/24,RITES,88,1.25
09/08/24,NETWEB,50,2
09/08/24,RECLTD,56,3.5
12/08/24,NHPC,284,0.5
16/08/24,BHARTIHEXA,23,4
16/08/24,COALINDIA,55,5
22/08/24,IRFC,936,0.7
28/08/24,GVT&D,17,2
29/08/24,RADIANTCMS,306,2.5
30/08/24,NAVA,112,2
30/08/24,OIL,44,2.5
30/08/24,PFC,60,3.25
03/09/24,GANECOS,205,3
06/09/24,TRITURBINE,213,1.3
06/09/24,ZENTEC,50,1
10/09/24,SYRMA,234,1.5
11/09/24,POCL,147,2.5
12/09/24,SKIPPER,519,0.1
13/09/24,HBLENGINE,350,0.5
17/09/24,GRWRHITECH,9,10
19/09/24,JASH,316,1.44
19/09/24,PTC,157,7.8
20/09/24,POWERMECH,43,1
20/09/24,RITES,88,2.5
23/09/24,BDL,25,0.85
23/09/24,CAPLIPOINT,27,2.5
23/09/24,COCHINSHIP,34,2.25
23/09/24,GENUSPOWER,482,0.6
23/09/24,HPL,293,1
23/09/24,SHAKTIPUMP,677,0.666667
22/10/24,HCLTECH,14,12
28/10/24,ELECON,28,0.5
29/10/24,INFY,15,21
05/11/24,COALINDIA,55,15.75
06/11/24,NAM-INDIA,52,8
07/11/24,SHRIRAMFIN,25,4.4
08/11/24,RECLTD,56,4
11/11/24,TDPOWERSYS,594,0.6
12/11/24,IRFC,936,0.8
14/11/24,OIL,44,3
14/11/24,RITES,88,1.75
19/11/24,COCHINSHIP,34,4
25/11/24,PFC,60,3.5
26/11/24,GANECOS,205,1.5
16/01/25,CESC,178,4.5
17/01/25,HCLTECH,14,12
31/01/25,COALINDIA,55,5.6
31/01/25,RITES,88,1.9
31/01/25,SHRIRAMFIN,25,2.5
06/02/25,TRITURBINE,213,2
12/02/25,COCHINSHIP,34,3.5
13/02/25,NHPC,284,1.4
14/02/25,AARTIPHARM,71,2.5
14/02/25,BDL,25,4
14/02/25,PREMIERENE,221,0.5
14/02/25,RECLTD,56,4.3
17/02/25,OIL,44,7
28/02/25,PFC,60,3.5
10/03/25,JASH,316,0.8
19/03/25,PFC,60,3.5
21/03/25,IRFC,936,0.8
26/03/25,RECLTD,56,3.6
28/04/25,HCLTECH,14,18
02/05/25,ACMESOLAR,903,0.2
05/05/25,PTC,157,5
09/05/25,TARIL,197,0.2
14/05/25,BSE,17,1.666667
30/05/25,CAPLIPOINT,27,3
30/05/25,GLAXO,13,42
30/05/25,INFY,15,22
04/06/25,INOXINDIA,123,2
06/06/25,BANKBARODA,104,8.35
06/06/25,HDFCAMC,8,90
10/06/25,INDIANB,30,16.25
13/06/25,CANBK,218,4
13/06/25,ELECON,28,1.5
13/06/25,PFC,60,2.05
20/06/25,BANKINDIA,169,4.05
20/06/25,TATAPOWER,531,2.25
23/06/25,KPIL,97,9
01/07/25,JSWINFRA,126,0.8
04/07/25,NAM-INDIA,52,10
04/07/25,REDINGTON,364,6.8
11/07/25,SHRIRAMFIN,25,3
18/07/25,HCLTECH,14,12
24/07/25,FIEMIND,124,30
25/07/25,BHARTIHEXA,23,10
25/07/25,ORIENTCEM,101,0.5
25/07/25,UNIONBANK,175,4.75
30/07/25,TDPOWERSYS,594,0.65
01/08/25,PREMIERENE,221,0.25
01/08/25,PTC,157,6.7
01/08/25,RECLTD,56,4.6
