Symbol,Transaction Date,Total Shares
0P0000XVXV.BO,24 November 2020,238.452
0P0000XVXV.BO,01 January 2021,292.0112
0P0000XVXV.BO,05 April 2021,385.965
0P0000XVXV.BO,01 July 2022,927.154
0P0000XVXV.BO,01 August 2022,1005.865
0P0000XVXV.BO,08 April 2024,0
0P0000XVYC.BO,30 March 2020,662.252
0P0000XVYC.BO,31 March 2023,0
0P0000XVTL.BO,13 April 2020,517.063
0P0000XVTL.BO,04 May 2020,1198.959
0P0000XVTL.BO,01 December 2020,1453.853
0P0000XVTL.BO,30 April 2021,936.79
0P0000XVTL.BO,08 December 2021,0
0P0000XVU7.BO,30 March 2020,415.543
0P0000XVU7.BO,02 May 2023,0
0P00011MAX.BO,24 November 2020,493.315
0P00011MAX.BO,01 January 2021,609.292
0P00011MAX.BO,02 March 2021,715.987
0P00011MAX.BO,03 May 2021,1211.502
0P00011MAX.BO,01 October 2021,1288.814
0P00011MAX.BO,01 November 2021,1365.321
0P00011MAX.BO,01 December 2021,1516.325
0P00011MAX.BO,01 July 2022,1916.946
0P00011MAX.BO,01 August 2022,2065.021
0P0001J6FU.BO,16 December 2024,1898.23
0P0001J6FU.BO,23 December 2024,1927.888
0P0001J6FU.BO,30 December 2024,1957.571
0P0001J6FU.BO,07 January 2025,1987.173
0P0001J6FU.BO,13 January 2025,2019.464
0P0001J6FU.BO,20 January 2025,2050.464
0P0001J6FU.BO,27 January 2025,2084.08
0P0001J6FU.BO,03 February 2025,2116.737
0P0001J6FU.BO,10 February 2025,2149.523
0P0001J6FU.BO,17 February 2025,2184.643
0P0001J6FU.BO,24 February 2025,2219.641
0P0001J6FU.BO,03 March 2025,2256.273
0P0001J6FU.BO,10 March 2025,2291.421
0P0001J6FU.BO,17 March 2025,2327.223
0P0001J6FU.BO,24 March 2025,2360.319
0P0001J6FU.BO,01 April 2025,2394.308
0P0001J6FU.BO,08 April 2025,2429.31
0P0001J6FU.BO,15 April 2025,2462.805
0P0001J6FU.BO,22 April 2025,2494.98
0P0001J6FU.BO,29 April 2025,2527.592
