Symbol,Transaction Date,Total Shares
AARTIDRUGS.NS,24 October 2022,16
AARTIDRUGS.NS,02 November 2022,17
AARTIDRUGS.NS,01 December 2022,18
AARTIDRUGS.NS,12 January 2023,19
AARTIDRUGS.NS,13 March 2023,35
AARTIDRUGS.NS,24 August 2023,34
AARTIDRUGS.NS,29 October 2024,19
AARTIDRUGS.NS,29 October 2024,14
AARTIDRUGS.NS,29 October 2024,0
AARTIPHARM.NS,23 October 2023,71
POWERINDIA.NS,24 October 2022,5
POWERINDIA.NS,14 March 2023,0
ACE.NS,03 May 2023,5
ACE.NS,12 May 2023,7
ACE.NS,12 June 2023,10
ACE.NS,13 July 2023,13
ACE.NS,14 August 2023,14
ACE.NS,12 September 2023,18
ACE.NS,12 October 2023,23
ACE.NS,12 October 2023,24
ACE.NS,19 July 2024,0
AWL.NS,24 October 2022,20
AWL.NS,24 October 2022,25
AWL.NS,01 December 2022,26
AWL.NS,12 January 2023,29
AWL.NS,13 February 2023,36
AWL.NS,13 March 2023,0
ADORWELD.NS,03 May 2023,2
ADORWELD.NS,12 May 2023,3
ADORWELD.NS,12 June 2023,4
ADORWELD.NS,13 July 2023,5
ADORWELD.NS,13 July 2023,7
ADORWELD.NS,14 August 2023,9
ADORWELD.NS,14 August 2023,10
ADORWELD.NS,12 September 2023,11
ADORWELD.NS,12 October 2023,12
ADORWELD.NS,16 December 2024,11
ADORWELD.NS,16 December 2024,10
ADORWELD.NS,16 December 2024,0
AIAENG.NS,24 October 2022,2
AIAENG.NS,29 October 2024,1
AIAENG.NS,29 October 2024,0
ANGELONE.NS,02 November 2023,5
ANGELONE.NS,13 November 2023,6
ANGELONE.NS,01 December 2023,0
APARINDS.NS,24 October 2022,12
APARINDS.NS,02 November 2022,13
APARINDS.NS,01 December 2022,14
APARINDS.NS,14 March 2023,11
APARINDS.NS,03 April 2023,12
APARINDS.NS,12 May 2023,14
APARINDS.NS,02 November 2023,13
APARINDS.NS,02 November 2023,3
