Transaction Date,Balance
27-Mar-2024,0.00
28-Mar-2024,"5,00,000.00"
31-Mar-2024,"5,00,322.00"
03-Apr-2024,"3,00,322.00"
03-Apr-2024,"1,00,322.00"
03-Apr-2024,"10,000.00"
13-Apr-2024,"9,844.00"
13-Apr-2024,"10,000.00"
30-Apr-2024,"2,62,404.00"
30-Apr-2024,"10,000.00"
02-May-2024,"9,931.75"
02-May-2024,"8,919.63"
03-May-2024,"7,419.63"
04-May-2024,"7,119.63"
04-May-2024,"7,019.63"
04-May-2024,"6,919.63"
05-May-2024,"6,511.63"
05-May-2024,"6,522.63"
06-May-2024,"8,021.63"
07-May-2024,"8,011.63"
07-May-2024,"5,012.63"
08-May-2024,"4,928.63"
11-May-2024,"4,914.54"
11-May-2024,"4,844.54"
12-May-2024,"4,850.54"
12-May-2024,"4,750.54"
15-May-2024,"4,510.54"
15-May-2024,"4,480.54"
15-May-2024,"4,280.54"
17-May-2024,"3,900.54"
18-May-2024,"3,850.54"
18-May-2024,"3,840.54"
19-May-2024,"3,940.54"
19-May-2024,"3,840.54"
20-May-2024,"3,740.54"
21-May-2024,"3,640.54"
22-May-2024,"3,570.54"
22-May-2024,"3,486.54"
22-May-2024,"3,570.54"
22-May-2024,"3,497.04"
23-May-2024,"2,497.04"
29-May-2024,"2,297.04"
31-May-2024,"3,17,603.04"
31-May-2024,"18,652.94"
02-Jun-2024,"17,652.94"
02-Jun-2024,"17,614.94"
02-Jun-2024,"39,238.94"
02-Jun-2024,"17,614.94"
02-Jun-2024,"12,299.94"
03-Jun-2024,"10,799.94"
03-Jun-2024,"9,798.94"
03-Jun-2024,"8,785.00"
04-Jun-2024,"8,885.00"
05-Jun-2024,"8,849.30"
08-Jun-2024,"8,799.30"
08-Jun-2024,"8,723.30"
09-Jun-2024,"8,423.30"
09-Jun-2024,"8,419.01"
09-Jun-2024,"8,185.60"
12-Jun-2024,"8,128.90"
15-Jun-2024,"4,628.90"
15-Jun-2024,"4,608.90"
17-Jun-2024,"4,439.43"
17-Jun-2024,"4,444.43"
20-Jun-2024,"4,320.53"
22-Jun-2024,"4,267.89"
22-Jun-2024,"4,227.89"
26-Jun-2024,"4,027.89"
26-Jun-2024,"3,949.14"
28-Jun-2024,"2,74,927.14"
28-Jun-2024,"58,663.85"
30-Jun-2024,"58,564.45"
30-Jun-2024,"58,524.45"
30-Jun-2024,"58,730.45"
02-Jul-2024,"57,470.45"
02-Jul-2024,"49,970.45"
02-Jul-2024,"42,470.45"
02-Jul-2024,"42,270.45"
03-Jul-2024,"34,770.45"
03-Jul-2024,"27,270.45"
03-Jul-2024,"25,770.45"
03-Jul-2024,"25,691.70"
04-Jul-2024,"18,304.85"
05-Jul-2024,"13,304.85"
06-Jul-2024,"8,328.85"
09-Jul-2024,"8,228.85"
10-Jul-2024,"7,928.85"
10-Jul-2024,"7,855.35"
