Symbol,As of Date,Last Price,Total Shares,Total Value
125354,2026-09-10 00:00:00,138.15,2065.0217,285282.74785499997
147946,2026-09-10 00:00:00,57.853,3228.428,186774.245084
118989,2026-09-10 00:00:00,232.269,945.616,219637.282704
151130,2026-09-10 00:00:00,104.0185,3593.683,373809.5151355
127042,2026-09-10 00:00:00,120.8402,1337.067,161571.44369339998
118632,2026-09-10 00:00:00,98.6725,5130.238,506213.409055
125307,2026-09-10 00:00:00,77.52,1461.0068,113257.247136
122639,2026-09-10 00:00:00,89.3946,7511.9687,671529.43714902
148564,2026-09-10 00:00:00,43.0095,7713.383,331748.7461385
120833,2026-09-10 00:00:00,46.4545,6568.145,305119.89190250007
120828,2026-09-10 00:00:00,324.4167,2552.9902,828232.65581634
135800,2026-09-10 00:00:00,47.9579,11584.6632,555576.1192792801
