Date,Symbol,Type,Shares,Price,Charges,Expense,Avg_Buy,Avg_Sell,Tax,PL,PAT
15-Oct-25,GMDCLTD,Buy,69,591.85,118.15,,,,,,
15-Oct-25,GMDCLTD,Buy,49,591.65,,,,,,,
15-Oct-25,GMDCLTD,Buy,31,591.75,,,,,,,
15-Oct-25,GMDCLTD,Buy,19,591.9,,,,,,,
15-Oct-25,SONACOMS,Buy,161,456.65,118.3,,,,,,
15-Oct-25,SONACOMS,Buy,57,456.6,,,,,,,
29-Oct-25,CESC,Buy,100,182.21,21.62,,,,,,
29-Oct-25,ETERNAL,Buy,50,330.6,19.75,,,,,,
29-Oct-25,GMDCLTD,Buy,30,591.95,21.21,,,,,,
29-Oct-25,NETWEB,Buy,5,4002.9,23.9,,,,,,
29-Oct-25,SHRIRAMFIN,Buy,40,724.05,34.36,,,,,,
29-Oct-25,SONACOMS,Buy,72,484.55,68.99,,,,,,
29-Oct-25,SONACOMS,Buy,2,484.5,,,,,,,
29-Oct-25,SONACOMS,Buy,46,484.6,,,,,,,
29-Oct-25,SPECIALITY,Buy,37,141.1,8.42,,,,,,
29-Oct-25,SPECIALITY,Buy,13,140.65,,,,,,,
29-Oct-25,SYRMA,Buy,100,817.3,97.63,,,,,,
03-Nov-25,GENUSPOWER,Buy,512,342.85,207.26,,,,,,
03-Nov-25,IKS,Buy,5,1666.7,12.37,,,,,,
03-Nov-25,IKS,Buy,1,1666.6,,,,,,,
03-Nov-25,INTELLECT,Buy,9,1238.7,13.57,,,,,,
03-Nov-25,RPEL,Buy,10,817.85,13.03,,,,,,
03-Nov-25,RPEL,Buy,3,818.15,,,,,,,
03-Nov-25,SFL,Buy,21,707.35,36.56,,,,,,
03-Nov-25,SFL,Buy,1,707.4,,,,,,,
03-Nov-25,SFL,Buy,7,707.55,,,,,,,
03-Nov-25,SFL,Buy,14,707.45,,,,,,,
03-Nov-25,STAR,Buy,11,987.7,13.36,,,,,,
04-Nov-25,MEDPLUS,Buy,12,824.7,11.46,,,,,,
11-Nov-25,ETERNAL,Sell,16,301.95,,,,,,,
11-Nov-25,ETERNAL,Sell,34,302,22.95,,,,,,
12-Nov-25,SHAKTIPUMP,Buy,51,747.85,,,,,,,
12-Nov-25,SHAKTIPUMP,Buy,101,747.75,,,,,,,
12-Nov-25,SHAKTIPUMP,Buy,14,747.7,,,,,,,
12-Nov-25,SHAKTIPUMP,Buy,126,747.5,298.6,,,,,,
12-Nov-25,SHAKTIPUMP,Buy,1,747,,,,,,,
12-Nov-25,SHAKTIPUMP,Buy,27,747.3,,,,,,,
12-Nov-25,SHAKTIPUMP,Buy,16,747.55,,,,,,,
12-Nov-25,SYRMA,Buy,176,863.3,304.43,,,,,,
12-Nov-25,SYRMA,Buy,122,863.25,,,,,,,
18-Nov-25,CHENNPETRO,Buy,9,1076.65,11.13,,,,,,
18-Nov-25,DPABHUSHAN,Buy,1,1592.7,,,,,,,
18-Nov-25,DPABHUSHAN,Buy,6,1592.65,25.13,,,,,,
18-Nov-25,DPABHUSHAN,Buy,1,1591.8,,,,,,,
18-Nov-25,DPABHUSHAN,Buy,5,1592.95,,,,,,,
18-Nov-25,INTELLECT,Buy,18,1092.6,23.4,,,,,,
18-Nov-25,RICOAUTO,Buy,168,112.45,24.11,,,,,,
18-Nov-25,RICOAUTO,Buy,13,112.46,,,,,,,
18-Nov-25,SEQUENT,Buy,43,236.72,12.56,,,,,,
18-Nov-25,STAR,Buy,21,949.7,23.85,,,,,,
20-Nov-25,GMDCLTD,Sell,123,520.8,122.32,,,,,,
20-Nov-25,GMDCLTD,Sell,75,520.85,,,,,,,
20-Nov-25,SFL,Sell,3,614,,,,,,,
20-Nov-25,SFL,Sell,2,614.1,,,,,,,
20-Nov-25,SFL,Sell,28,614.05,36.31,,,,,,
20-Nov-25,SFL,Sell,10,614.15,,,,,,,
