Date,SBI PENSION FUND SCHEME C - TIER I Units_Units,SBI PENSION FUND SCHEME C - TIER I Units_NAV,SBI PENSION FUND SCHEME C - TIER I Units_Value,SBI PENSION FUND SCHEME E - TIER I Units_Units,SBI PENSION FUND SCHEME E - TIER I Units_NAV,SBI PENSION FUND SCHEME E - TIER I Units_Value,SBI PENSION FUND SCHEME G - TIER I Units_Units,SBI PENSION FUND SCHEME G - TIER I Units_NAV,SBI PENSION FUND SCHEME G - TIER I Units_Value,Total_Value,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units_Units,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units_NAV,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I Units_Value,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units_Units,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units_NAV,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I Units_Value,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units_Units,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units_NAV,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units_Value,LIC PENSION FUND SCHEME C - TIER I Units_Units,LIC PENSION FUND SCHEME C - TIER I Units_NAV,LIC PENSION FUND SCHEME C - TIER I Units_Value,LIC PENSION FUND SCHEME E - TIER I Units_Units,LIC PENSION FUND SCHEME E - TIER I Units_NAV,LIC PENSION FUND SCHEME E - TIER I Units_Value,LIC PENSION FUND SCHEME G - TIER I Units_Units,LIC PENSION FUND SCHEME G - TIER I Units_NAV,LIC PENSION FUND SCHEME G - TIER I Units_Value,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units_Units,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units_NAV,NPS TRUST- A/C - UTI PENSION FUND SCHEME E - TIER I Units_Value,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units_Units,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units_NAV,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units_Value
2020-04-16,3.4,29.45,100.13,37.1,20.22,750.06,5.32,28.17,149.88,1000.06,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,3.4,29.69,100.93,37.1,20.81,772.18,5.32,28.27,150.4,1023.52,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-18,3.4,29.69,100.93,37.1,20.81,772.18,5.32,28.27,150.4,1023.52,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,3.4,29.69,100.93,37.1,20.81,772.18,5.32,28.27,150.4,1023.52,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,3.4,29.84,101.46,37.1,20.75,769.69,5.32,28.66,152.5,1023.65,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,3.4,29.93,101.77,37.1,20.15,747.69,5.32,28.72,152.77,1002.23,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,3.4,29.95,101.82,37.1,20.55,762.48,5.32,28.71,152.74,1017.03,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,3.4,30.01,102.03,37.1,20.82,772.57,5.32,28.96,154.06,1028.67,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,3.4,29.81,101.34,37.1,20.5,760.4,5.32,28.83,153.37,1015.11,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-25,3.4,29.81,101.34,37.1,20.5,760.4,5.32,28.83,153.37,1015.11,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-26,3.4,29.81,101.34,37.1,20.5,760.4,5.32,28.83,153.37,1015.11,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,3.4,29.72,101.04,37.1,20.77,770.72,5.32,28.86,153.54,1025.3,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,3.4,29.66,100.83,37.1,20.93,776.57,5.32,28.87,153.56,1030.96,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,3.4,29.66,100.84,37.1,21.23,787.58,5.32,28.85,153.48,1041.91,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,3.4,29.71,101.01,37.1,21.83,809.93,5.32,28.89,153.69,1064.64,,,,,,,,,,,,,,,,,,,,,,,,
