Transaction Date,Closing Balance
2015-02-04,110044.0
2015-02-05,285044.0
2015-02-06,285044.0
2015-02-07,460044.0
2015-02-08,460044.0
2015-02-09,460044.0
2015-02-10,460044.0
2015-02-11,460044.0
2015-02-12,460044.0
2015-02-13,460044.0
2015-02-14,460044.0
2015-02-15,460044.0
2015-02-16,460044.0
2015-02-17,460044.0
2015-02-18,460044.0
2015-02-19,460044.0
2015-02-20,460044.0
2015-02-21,460044.0
2015-02-22,460044.0
2015-02-23,650044.0
2015-02-24,650044.0
2015-02-25,650044.0
2015-02-26,650044.0
2015-02-27,650044.0
2015-02-28,650044.0
2015-03-01,650044.0
2015-03-02,825044.0
2015-03-03,825044.0
2015-03-04,825044.0
2015-03-05,825044.0
2015-03-06,825044.0
2015-03-07,825044.0
2015-03-08,825044.0
2015-03-09,825044.0
2015-03-10,1015044.0
2015-03-11,1015044.0
2015-03-12,1015044.0
2015-03-13,1015044.0
2015-03-14,1015044.0
2015-03-15,1015044.0
2015-03-16,1015044.0
2015-03-17,1015044.0
2015-03-18,1015044.0
2015-03-19,1015044.0
2015-03-20,1015044.0
2015-03-21,1015044.0
2015-03-22,1015044.0
2015-03-23,1015044.0
2015-03-24,1015044.0
2015-03-25,1015044.0
2015-03-26,1015044.0
2015-03-27,1015044.0
2015-03-28,1015044.0
2015-03-29,1015044.0
2015-03-30,1015044.0
2015-03-31,1022082.0
2015-04-01,1022082.0
2015-04-02,1022082.0
2015-04-03,1022082.0
2015-04-04,1122082.0
2015-04-05,1122082.0
2015-04-06,1122082.0
2015-04-07,1122082.0
2015-04-08,1122082.0
2015-04-09,1297082.0
2015-04-10,1297082.0
2015-04-11,1297082.0
2015-04-12,1297082.0
2015-04-13,1349082.0
2015-04-14,1349082.0
2015-04-15,1349082.0
2015-04-16,1349082.0
2015-04-17,1349082.0
2015-04-18,1349082.0
2015-04-19,1349082.0
2015-04-20,1349082.0
2015-04-21,1349082.0
2015-04-22,1349082.0
2015-04-23,1349082.0
2015-04-24,1349082.0
2015-04-25,1349082.0
2015-04-26,1349082.0
2015-04-27,1349082.0
2015-04-28,1349082.0
2015-04-29,1349082.0
2015-04-30,1349082.0
2015-05-01,1349082.0
2015-05-02,1349082.0
2015-05-03,1349082.0
2015-05-04,1369082.0
2015-05-05,1369082.0
2015-05-06,1369082.0
2015-05-07,1369082.0
2015-05-08,1369082.0
