Symbol,Transaction Date,Total Shares,Price,Total value
125354,2026-09-03,2065.0217,137.92,284807.79286399996
125354,2026-09-04,2065.0217,137.66,284270.887222
125354,2026-09-05,2065.0217,137.66,284270.887222
125354,2026-09-06,2065.0217,137.66,284270.887222
125354,2026-09-07,2065.0217,138.0,284972.9946
125354,2026-09-08,2065.0217,138.49,285984.855233
125354,2026-09-09,2065.0217,138.15,285282.74785499997
125354,2026-09-10,2065.0217,138.15,285282.74785499997
147946,2026-09-03,3228.428,57.355,185166.48794
147946,2026-09-04,3228.428,57.721,186348.09258799997
147946,2026-09-05,3228.428,57.721,186348.09258799997
147946,2026-09-06,3228.428,57.721,186348.09258799997
147946,2026-09-07,3228.428,57.83,186699.99123999997
147946,2026-09-08,3228.428,58.013,187290.793564
147946,2026-09-09,3228.428,57.853,186774.245084
147946,2026-09-10,3228.428,57.853,186774.245084
118989,2026-09-03,945.616,235.494,222686.894304
118989,2026-09-04,945.616,234.584,221826.383744
118989,2026-09-05,945.616,234.584,221826.383744
118989,2026-09-06,945.616,234.584,221826.383744
118989,2026-09-07,945.616,233.47,220772.96752
118989,2026-09-08,945.616,233.745,221033.01192
118989,2026-09-09,945.616,232.269,219637.282704
118989,2026-09-10,945.616,232.269,219637.282704
151130,2026-09-03,3593.683,103.404,371601.196932
151130,2026-09-04,3593.683,103.5164,372005.12690120004
151130,2026-09-05,3593.683,103.5164,372005.12690120004
151130,2026-09-06,3593.683,103.5164,372005.12690120004
151130,2026-09-07,3593.683,103.8106,373062.38843979995
151130,2026-09-08,3593.683,104.5623,375763.7599509
151130,2026-09-09,3593.683,104.0185,373809.5151355
151130,2026-09-10,3593.683,104.0185,373809.5151355
127042,2026-09-03,1337.067,120.5604,161197.33234680002
127042,2026-09-04,1337.067,120.5869,161232.7646223
127042,2026-09-05,1337.067,120.5869,161232.7646223
127042,2026-09-06,1337.067,120.5869,161232.7646223
127042,2026-09-07,1337.067,120.2331,160759.7103177
127042,2026-09-08,1337.067,120.8664,161606.4748488
127042,2026-09-09,1337.067,120.8402,161571.44369339998
127042,2026-09-10,1337.067,120.8402,161571.44369339998
118632,2026-09-03,5130.238,100.2974,514549.5327812
118632,2026-09-04,5130.238,100.3594,514867.6075372
118632,2026-09-05,5130.238,100.3594,514867.6075372
118632,2026-09-06,5130.238,100.3594,514867.6075372
118632,2026-09-07,5130.238,99.8579,512294.79318020004
118632,2026-09-08,5130.238,99.6151,511049.1713938
118632,2026-09-09,5130.238,98.6725,506213.409055
118632,2026-09-10,5130.238,98.6725,506213.409055
125307,2026-09-03,1461.0068,78.06,114046.19080800001
125307,2026-09-04,1461.0068,77.8,113666.32904000001
125307,2026-09-05,1461.0068,77.8,113666.32904000001
125307,2026-09-06,1461.0068,77.8,113666.32904000001
125307,2026-09-07,1461.0068,77.61,113388.73774800001
125307,2026-09-08,1461.0068,77.74,113578.668632
125307,2026-09-09,1461.0068,77.52,113257.247136
125307,2026-09-10,1461.0068,77.52,113257.247136
122639,2026-09-03,7511.9687,90.6349,680846.5319276301
122639,2026-09-04,7511.9687,90.5289,680050.26324543
122639,2026-09-05,7511.9687,90.5289,680050.26324543
122639,2026-09-06,7511.9687,90.5289,680050.26324543
122639,2026-09-07,7511.9687,90.3473,678686.08972951
122639,2026-09-08,7511.9687,90.0181,676213.1496334701
122639,2026-09-09,7511.9687,89.3946,671529.43714902
122639,2026-09-10,7511.9687,89.3946,671529.43714902
148564,2026-09-03,7713.383,42.5647,328317.8333801
148564,2026-09-04,7713.383,42.9006,330908.75872979994
148564,2026-09-05,7713.383,42.9006,330908.75872979994
148564,2026-09-06,7713.383,42.9006,330908.75872979994
148564,2026-09-07,7713.383,43.0112,331761.85888960003
148564,2026-09-08,7713.383,43.0745,332250.1160335
148564,2026-09-09,7713.383,43.0095,331748.7461385
148564,2026-09-10,7713.383,43.0095,331748.7461385
120833,2026-09-03,6568.145,46.5391,305675.55696950003
120833,2026-09-04,6568.145,46.5753,305913.32381850004
120833,2026-09-05,6568.145,46.5753,305913.32381850004
120833,2026-09-06,6568.145,46.5753,305913.32381850004
120833,2026-09-07,6568.145,46.3571,304480.1545795
120833,2026-09-08,6568.145,46.141,303060.778445
120833,2026-09-09,6568.145,46.4545,305119.89190250007
120833,2026-09-10,6568.145,46.4545,305119.89190250007
120828,2026-09-03,2552.9902,321.4163,820572.66402026
120828,2026-09-04,2552.9902,322.6375,823690.3756525001
120828,2026-09-05,2552.9902,322.6375,823690.3756525001
120828,2026-09-06,2552.9902,322.6375,823690.3756525001
120828,2026-09-07,2552.9902,323.4711,825818.54828322
120828,2026-09-08,2552.9902,324.5114,828474.42398828
120828,2026-09-09,2552.9902,324.4167,828232.65581634
120828,2026-09-10,2552.9902,324.4167,828232.65581634
135800,2026-09-03,11584.6632,49.8446,577432.9033387201
135800,2026-09-04,11584.6632,49.6573,575263.0959213601
135800,2026-09-05,11584.6632,49.6573,575263.0959213601
135800,2026-09-06,11584.6632,49.6573,575263.0959213601
135800,2026-09-07,11584.6632,48.9851,567475.8853183201
135800,2026-09-08,11584.6632,48.8951,566433.2656303201
135800,2026-09-09,11584.6632,47.9579,555576.1192792801
135800,2026-09-10,11584.6632,47.9579,555576.1192792801
