Transaction Date,Closing Balance
31 May 2025,16058
31 May 2025,15725
16 May 2025,15000
31 March 2025,223847
13 February 2025,221510
31 December 2024,222610
30 November 2024,220070
26 November 2024,217070
26 November 2024,220070
10 October 2024,220370
9 October 2024,220360
7 October 2024,220350
30 September 2024,220340
6 July 2024,217765
30 June 2024,222765
4 May 2024,220099
23 April 2024,210099
6 April 2024,215099
6 April 2024,465099
3 April 2024,215099
3 April 2024,415099
31 March 2024,215099
8 March 2024,200000
8 March 2024,481199.34
8 March 2024,981199.34
7 March 2024,1481199.34
7 March 2024,1506199.34
5 March 2024,1261735.5
5 March 2024,1270735.5
3 March 2024,1330735.5
1 March 2024,1338735.5
1 March 2024,1334568.5
28 February 2024,1097028.57
28 February 2024,1109028.57
26 February 2024,1164543.57
26 February 2024,1414543.57
13 February 2024,1418543.57
11 February 2024,1268543.57
10 February 2024,1276543.57
6 February 2024,1356543.57
5 February 2024,1506543.57
4 February 2024,1364432.24
1 February 2024,1372432.24
31 January 2024,1472432.24
31 January 2024,1503364.24
28 January 2024,1248658.81
28 January 2024,1256658.81
21 January 2024,1312173.81
14 January 2024,1320173.81
10 January 2024,1328173.81
8 January 2024,1408173.81
7 January 2024,1416173.81
7 January 2024,1408173.81
6 January 2024,1416173.81
31 December 2023,1402968.59
31 December 2023,1385559.59
29 December 2023,1393559.59
28 December 2023,1149105.96
24 December 2023,1204620.96
20 December 2023,1212620.96
18 December 2023,806060.96
17 December 2023,1212620.96
10 December 2023,1220620.96
10 December 2023,1228620.96
5 December 2023,1308620.96
4 December 2023,1302463.66
3 December 2023,1308620.96
1 December 2023,1316620.96
30 November 2023,1341620.96
28 November 2023,1031242.33
27 November 2023,1086757.33
26 November 2023,1151757.33
19 November 2023,1159757.33
16 November 2023,1167757.33
13 November 2023,1156008.26
12 November 2023,1256008.26
10 November 2023,1266008.26
10 November 2023,1041818.26
10 November 2023,956282.26
7 November 2023,1016282.26
5 November 2023,1216008.26
5 November 2023,1215988.26
4 November 2023,1225988.26
4 November 2023,1225488.26
4 November 2023,1225988.26
2 November 2023,959984.71
1 November 2023,1159984.71
1 November 2023,1049984.71
31 October 2023,1269984.71
29 October 2023,1046543.21
28 October 2023,1056543.21
26 October 2023,1112058.21
23 October 2023,1066905.13
23 October 2023,1141905.13
22 October 2023,1241905.13
15 October 2023,1251905.13
14 October 2023,1261905.13
12 October 2023,1259750.92
10 October 2023,1294750.92
10 October 2023,1118768.42
8 October 2023,1178768.42
7 October 2023,1188768.42
3 October 2023,1072903.31
1 October 2023,1248903.31
30 September 2023,1258903.31
29 September 2023,1240022.31
29 September 2023,710005.65
28 September 2023,665023.65
26 September 2023,720538.65
26 September 2023,715538.65
26 September 2023,915538.65
24 September 2023,1346914.65
17 September 2023,1356914.65
17 September 2023,1356916.65
10 September 2023,1366916.65
10 September 2023,1426916.65
3 September 2023,1436916.65
2 September 2023,1446916.65
1 September 2023,1440539.9
31 August 2023,1500539.9
29 August 2023,1265392.03
28 August 2023,1167112.03
27 August 2023,1222627.03
23 August 2023,1232627.03
21 August 2023,1330907.03
21 August 2023,1270959.03
20 August 2023,1264720.92
17 August 2023,1274720.92
16 August 2023,1136547.79
14 August 2023,1166547.79
13 August 2023,1226547.79
13 August 2023,1366547.79
10 August 2023,1376547.79
8 August 2023,1436547.79
7 August 2023,1336547.79
6 August 2023,1436547.79
1 August 2023,1446547.79
31 July 2023,1326547.79
30 July 2023,1125641.99
29 July 2023,1135641.99
28 July 2023,1130121.55
27 July 2023,1185636.55
25 July 2023,1196636.55
23 July 2023,1136636.55
19 July 2023,1146636.55
16 July 2023,1231636.55
16 July 2023,1239636.55
11 July 2023,1249636.55
11 July 2023,1241636.55
10 July 2023,1331636.55
9 July 2023,1391636.55
8 July 2023,1401636.55
6 July 2023,1259636.55
5 July 2023,1201136.55
3 July 2023,1061136.55
2 July 2023,1201136.55
2 July 2023,1176136.55
30 June 2023,1186136.55
30 June 2023,1167391.55
29 June 2023,984947.1
29 June 2023,959947.1
28 June 2023,1159947.1
25 June 2023,1215462.1
23 June 2023,1225462.1
21 June 2023,1223847.87
20 June 2023,1237347.87
20 June 2023,1117347.87
18 June 2023,1217347.87
16 June 2023,1227347.87
14 June 2023,1253347.87
13 June 2023,1149067.87
11 June 2023,1269067.87
10 June 2023,1279067.87
6 June 2023,1339067.87
4 June 2023,1442807.87
4 June 2023,1342807.87
4 June 2023,1442807.87
2 June 2023,1452807.87
31 May 2023,1452712.87
28 May 2023,1213322.33
28 May 2023,1223322.33
21 May 2023,1278837.33
20 May 2023,1288837.33
17 May 2023,1260696.73
16 May 2023,1110696.73
14 May 2023,1107642.37
10 May 2023,1117642.37
10 May 2023,1108129.95
10 May 2023,1308129.95
8 May 2023,1368129.95
7 May 2023,1376129.95
7 May 2023,1376109.95
4 May 2023,1386109.95
3 May 2023,1294992.66
1 May 2023,1336110.66
30 April 2023,1436110.66
28 April 2023,1446110.66
28 April 2023,1223344.06
24 April 2023,1278859.06
23 April 2023,1271859.06
20 April 2023,1291859.06
16 April 2023,1272096.19
10 April 2023,1292096.19
10 April 2023,1312096.19
9 April 2023,1342096.19
8 April 2023,1362096.19
7 April 2023,1341943.22
6 April 2023,1340205.4
5 April 2023,1533205.4
3 April 2023,1221715.78
2 April 2023,1290215.78
2 April 2023,1533215.78
31 March 2023,1540715.78
31 March 2023,1522757.78
29 March 2023,1293779.78
28 March 2023,1243779.78
28 March 2023,1293779.78
27 March 2023,1349294.78
27 March 2023,1344995.78
26 March 2023,1364995.78
19 March 2023,1372495.78
16 March 2023,1379995.78
14 March 2023,1343678.57
12 March 2023,1289778.57
10 March 2023,1297278.57
10 March 2023,1105528.57
7 March 2023,1205528.57
5 March 2023,1204027.82
3 March 2023,1211527.82
28 February 2023,1403527.82
28 February 2023,1183511.32
27 February 2023,1239026.32
26 February 2023,1115924.52
25 February 2023,1123424.52
20 February 2023,988424.52
19 February 2023,1245824.52
16 February 2023,1253324.52
14 February 2023,1270324.52
12 February 2023,1220324.52
10 February 2023,1227824.52
7 February 2023,1327824.52
7 February 2023,1326824.52
5 February 2023,1327824.52
4 February 2023,1335324.52
4 February 2023,1313949.52
4 February 2023,1313849.52
4 February 2023,1313799.52
31 January 2023,1313749.52
29 January 2023,1091145.52
28 January 2023,1098645.52
28 January 2023,1128645.52
22 January 2023,1184160.52
17 January 2023,1191660.52
15 January 2023,1172716
11 January 2023,1180216
10 January 2023,1180166
8 January 2023,1280166
8 January 2023,1280116
7 January 2023,1287616
6 January 2023,1287566
3 January 2023,1287516
1 January 2023,1224732.29
1 January 2023,1000186.31
31 December 2022,1007686.31
30 December 2022,989376.31
28 December 2022,1039376.31
25 December 2022,1094891.31
18 December 2022,1102391.31
17 December 2022,1109891.31
13 December 2022,965891.31
11 December 2022,1119891.31
8 December 2022,1127391.31
7 December 2022,1147391.31
4 December 2022,1060264.06
3 December 2022,1067764.06
30 November 2022,1031449.37
28 November 2022,1081449.37
27 November 2022,1136964.37
26 November 2022,1139464.37
23 November 2022,1138464.37
20 November 2022,1194464.37
13 November 2022,1196964.37
11 November 2022,1199464.37
10 November 2022,1209464.37
8 November 2022,1088264.37
7 November 2022,984264.37
6 November 2022,999264.37
1 November 2022,1001764.37
31 October 2022,1021764.37
30 October 2022,1071764.37
28 October 2022,1121764.37
28 October 2022,1015989.06
24 October 2022,1071504.06
17 October 2022,1471504.06
6 October 2022,1846504.06
3 October 2022,1732289.58
30 September 2022,1742289.58
30 September 2022,1718530.58
28 September 2022,1576733.58
28 September 2022,1690733.58
22 September 2022,1746248.58
14 September 2022,1552014.07
7 September 2022,1770014.07
7 September 2022,1578914.07
2 September 2022,1770014.07
29 August 2022,1760014.07
29 August 2022,1560014.07
28 August 2022,1554486.82
6 August 2022,1610001.82
4 August 2022,1610000.82
29 July 2022,1500000.82
28 July 2022,1410011.32
6 July 2022,1465526.32
30 June 2022,1665526.32
30 June 2022,1643226.32
28 June 2022,1582134.32
19 June 2022,1637649.32
2 June 2022,1637599.32
31 May 2022,1417599.32
28 May 2022,1217600.32
26 May 2022,1273115.32
13 May 2022,1344615.32
12 May 2022,1354615.32
12 May 2022,1344615.32
1 May 2022,1544615.32
29 April 2022,1664615.32
28 April 2022,1470733.08
31 March 2022,1526248.08
31 March 2022,1503772.08
28 March 2022,1444485
28 March 2022,1500000
28 February 2022,1555515
28 February 2022,1510644
11 February 2022,1566159
8 February 2022,1551599
7 February 2022,1550000
31 January 2022,1500000
28 January 2022,1383867.82
12 January 2022,1439382.82
7 January 2022,1437082.82
3 January 2022,1487082.82
31 December 2021,1469145.96
29 December 2021,1448231.96
28 December 2021,1439977.96
22 December 2021,1495492.96
16 December 2021,1275492.87
16 December 2021,1393492.87
15 December 2021,1511492.87
13 December 2021,1465872.87
13 December 2021,1417366.37
13 December 2021,1417308.37
8 December 2021,1361807.74
30 November 2021,1466807.74
30 November 2021,1466629.74
28 November 2021,1381629.34
18 November 2021,1437144.34
9 November 2021,1447144.34
29 October 2021,1457144.34
29 October 2021,1449247.34
28 October 2021,1319247.29
26 October 2021,1374762.29
4 October 2021,1371109.29
30 September 2021,1364543.24
30 September 2021,1346218.24
28 September 2021,1237112.24
27 September 2021,1292627.24
19 September 2021,1292617.24
18 September 2021,1291777.24
9 September 2021,1291767.24
31 August 2021,1191767.24
30 August 2021,1096750.28
28 August 2021,1096740.28
26 August 2021,1152255.28
22 August 2021,1164495.28
18 August 2021,1171495.28
16 August 2021,1187795.28
16 August 2021,1187780.28
4 August 2021,1192780.28
30 July 2021,1209280.28
28 July 2021,1099778.23
27 July 2021,1155293.23
27 July 2021,1136748.23
21 July 2021,1155293.23
12 July 2021,1155283.23
12 July 2021,1155273.23
10 July 2021,1155263.23
5 July 2021,1155253.23
5 July 2021,1355253.23
5 July 2021,1488350.23
30 June 2021,1480350.23
30 June 2021,1458401.23
30 June 2021,1457932.23
28 June 2021,1279932.23
27 June 2021,1335447.23
