Transaction Date,Balance
20-Mar-17,25000.00
21-Mar-17,24500.00
23-Mar-17,23400.00
23-Mar-17,98400.00
25-Mar-17,98440.00
01-Apr-17,97418.00
03-Apr-17,98978.00
01-May-17,95920.00
11-May-17,95890.00
20-May-17,96479.00
20-May-17,95890.00
20-May-17,95803.75
01-Jun-17,92643.75
25-Jun-17,93612.75
01-Aug-17,90239.75
01-Sep-17,87058.75
25-Sep-17,87903.75
01-Oct-17,82889.75
01-Nov-17,76549.75
01-Dec-17,70410.75
25-Dec-17,71088.75
01-Jan-18,64744.75
01-Feb-18,56865.75
25-Feb-18,56718.25
01-Mar-18,47918.25
25-Mar-18,48419.25
31-Mar-18,100419.25
01-Apr-18,90573.25
01-May-18,77924.25
01-Jun-18,61530.25
25-Jun-18,62203.25
01-Jul-18,43316.25
01-Aug-18,20072.25
13-Aug-18,70072.25
01-Sep-18,43648.25
25-Sep-18,44062.25
01-Oct-18,15313.25
15-Oct-18,100313.25
01-Nov-18,67180.25
01-Dec-18,35116.25
25-Dec-18,35599.25
27-Dec-18,85599.25
01-Jan-19,52466.25
01-Feb-19,18477.25
28-Feb-19,68477.25
01-Mar-19,35125.25
17-Mar-19,34977.75
25-Mar-19,35316.75
29-Mar-19,73316.75
01-Apr-19,35362.75
01-May-19,45362.75
01-May-19,8004.75
31-May-19,58004.75
01-Jun-19,19401.75
25-Jun-19,19609.75
28-Jun-19,49609.75
01-Jul-19,12251.75
31-Jul-19,52251.75
01-Aug-19,13648.75
31-Aug-19,53648.75
01-Sep-19,15045.75
25-Sep-19,15184.75
30-Sep-19,55184.75
01-Oct-19,17826.75
30-Oct-19,57826.75
01-Nov-19,19223.75
30-Nov-19,59223.75
01-Dec-19,21865.75
25-Dec-19,22040.75
30-Dec-19,62040.75
01-Jan-20,23437.75
30-Jan-20,63437.75
01-Feb-20,24834.75
27-Feb-20,24687.25
29-Feb-20,64687.25
01-Mar-20,28574.25
25-Mar-20,28793.25
29-Mar-20,68793.25
31-Mar-20,65793.25
31-Mar-20,65794.25
01-Apr-20,29248.25
01-Apr-20,15000.00
03-Apr-20,1000.00
29-Apr-20,41000.00
01-May-20,5839.00
01-May-20,1000.00
29-May-20,41000.00
01-Jun-20,2134.00
06-Jun-20,6134.00
19-Jun-20,51134.00
19-Jun-20,8484.00
19-Jun-20,5984.00
25-Jun-20,6039.00
30-Jun-20,61554.00
01-Jul-20,6039.00
30-Jul-20,61554.00
01-Aug-20,6039.00
30-Aug-20,61554.00
01-Sep-20,6039.00
25-Sep-20,6100.00
30-Sep-20,61615.00
01-Oct-20,6100.00
30-Oct-20,61615.00
01-Nov-20,6100.00
30-Nov-20,61615.00
01-Dec-20,6100.00
07-Dec-20,5880.00
12-Dec-20,6000.00
25-Dec-20,6057.00
30-Dec-20,61572.00
30-Dec-20,6057.00
01-Jan-21,61572.00
01-Jan-21,6057.00
30-Jan-21,61572.00
01-Feb-21,6057.00
06-Feb-21,306057.00
06-Feb-21,506057.00
06-Feb-21,556057.00
09-Feb-21,356169.00
10-Feb-21,354114.00
10-Feb-21,154114.00
10-Feb-21,7000.00
20-Feb-21,6852.50
26-Feb-21,62367.50
28-Feb-21,117882.50
28-Feb-21,62367.50
01-Mar-21,6852.50
25-Mar-21,7064.50
28-Mar-21,62579.50
30-Mar-21,8333.50
25-Apr-21,5000.00
28-Apr-21,60515.00
29-Apr-21,5000.00
28-May-21,60515.00
01-Jun-21,5000.00
25-Jun-21,5070.00
28-Jun-21,60585.00
01-Jul-21,5070.00
28-Jul-21,60585.00
01-Aug-21,5070.00
28-Aug-21,60585.00
01-Sep-21,5070.00
04-Sep-21,5141.00
04-Sep-21,5070.00
25-Sep-21,5149.00
28-Sep-21,60664.00
01-Oct-21,5149.00
28-Oct-21,60664.00
01-Nov-21,5149.00
28-Nov-21,60664.00
01-Dec-21,5149.00
25-Dec-21,5225.00
28-Dec-21,60740.00
01-Jan-22,5225.00
28-Jan-22,60740.00
01-Feb-22,5225.00
19-Feb-22,5077.50
28-Feb-22,60592.50
01-Mar-22,5077.50
25-Mar-22,5148.50
28-Mar-22,60663.50
28-Mar-22,5148.50
28-Mar-22,60663.50
01-Apr-22,5148.50
28-Apr-22,60663.50
01-May-22,5148.50
28-May-22,60663.50
01-Jun-22,5148.50
25-Jun-22,5228.50
28-Jun-22,60743.50
01-Jul-22,5228.50
28-Jul-22,60743.50
01-Aug-22,5228.50
28-Aug-22,60743.50
01-Sep-22,5228.50
25-Sep-22,5309.50
28-Sep-22,60824.50
01-Oct-22,5309.50
28-Oct-22,60824.50
01-Nov-22,5309.50
28-Nov-22,60824.50
01-Dec-22,5309.50
25-Dec-22,5386.50
28-Dec-22,60901.50
01-Jan-23,5386.50
28-Jan-23,60901.50
01-Feb-23,5386.50
17-Feb-23,5239.00
28-Feb-23,60754.00
01-Mar-23,5239.00
25-Mar-23,5311.00
28-Mar-23,60826.00
01-Apr-23,5311.00
28-Apr-23,60826.00
01-May-23,5311.00
28-May-23,60826.00
01-Jun-23,5311.00
25-Jun-23,5392.00
28-Jun-23,60907.00
01-Jul-23,5392.00
28-Jul-23,60907.00
01-Aug-23,5392.00
28-Aug-23,60907.00
01-Sep-23,5392.00
25-Sep-23,5474.00
28-Sep-23,60989.00
01-Oct-23,5474.00
28-Oct-23,60989.00
01-Nov-23,5474.00
28-Nov-23,60989.00
01-Dec-23,5474.00
25-Dec-23,5552.00
28-Dec-23,61067.00
01-Jan-24,5552.00
28-Jan-24,61067.00
01-Feb-24,5552.00
17-Feb-24,5404.50
26-Feb-24,1404.50
26-Feb-24,5404.50
28-Feb-24,60919.50
01-Mar-24,5404.50
25-Mar-24,5482.50
28-Mar-24,60997.50
01-Apr-24,997.50
28-Apr-24,60997.50
01-May-24,997.50
04-May-24,300997.50
04-May-24,996.65
28-May-24,60996.65
01-Jun-24,996.65
25-Jun-24,1052.65
28-Jun-24,61052.65
01-Jul-24,1052.65
28-Jul-24,61052.65
01-Aug-24,1052.65
28-Aug-24,61052.65
28-Aug-24,110552.65
28-Aug-24,160052.65
28-Aug-24,209552.65
28-Aug-24,259052.65
28-Aug-24,297052.65
28-Aug-24,61052.65
28-Aug-24,61652.65
29-Aug-24,61052.65
01-Sep-24,1052.65
25-Sep-24,1108.65
28-Sep-24,61108.65
01-Oct-24,1108.65
28-Oct-24,61108.65
30-Oct-24,61008.65
30-Oct-24,61108.65
01-Nov-24,1108.65
28-Nov-24,61108.65
01-Dec-24,1108.65
25-Dec-24,1160.65
28-Dec-24,61160.65
01-Jan-25,1160.65
28-Jan-25,61160.65
04-Feb-25,1160.65
28-Feb-25,61160.65
01-Mar-25,1160.65
25-Mar-25,1221.65
28-Mar-25,61221.65
01-Apr-25,1221.65
28-Apr-25,61221.65
01-May-25,1221.65
28-May-25,61221.65
01-Jun-25,1221.65
