date,symbol,marketcapname,sector,price,today,quantity,bought value,current value,pl,,
16/04/25,CUPID,Midcap,FMCG,74.60,312.84,134,9996.40,41920.56,31924.16,,
15/05/25,IFBAGRO,Smallcap,FMCG,529.00,1543.30,19,10051.00,29322.70,19271.70,,
23/04/25,IZMO,Smallcap,I.T,326.95,860.25,31,10135.45,26667.75,16532.30,,
10/09/25,INDOTHAI,Smallcap,Financials,179.00,402.90,56,10024.00,22562.40,12538.40,,
05/05/25,NETWEB,Midcap,I.T,1621.04,3438.00,6,9726.22,20628.00,10901.78,,
07/08/25,IZMO,Smallcap,I.T,410.15,860.25,24,9843.60,20646.00,10802.40,,
06/05/25,TATVA,Smallcap,Chemicals,736.32,1489.40,14,10308.48,20851.60,10543.13,,
22/04/25,BANCOINDIA,Midcap,Auto,404.10,806.05,25,10102.50,20151.25,10048.75,,
01/04/25,HBLENGINE,Largecap,Auto,514.40,1041.30,19,9773.53,19784.70,10011.17,,
17/07/25,YATRA,Smallcap,I.T,94.70,187.55,106,10038.20,19880.30,9842.10,,
15/04/25,INOXGREEN,Midcap,Miscellaneous,142.99,253.00,70,10009.30,17710.00,7700.70,,
13/05/25,INFOBEAN,Smallcap,I.T,356.35,612.00,28,9977.72,17136.00,7158.28,,
15/04/25,SRM,Smallcap,Realty,381.90,634.10,26,9929.40,16486.60,6557.20,,
11/09/25,MTARTECH,Midcap,Aerospace & Defence,1545.00,2626.60,6,9270.00,15759.60,6489.60,,
22/04/25,TI,Midcap,FMCG,297.90,487.80,34,10128.75,16585.20,6456.45,,
05/08/25,MTARTECH,Midcap,Aerospace & Defence,1584.60,2626.60,6,9507.60,15759.60,6252.00,,
06/05/25,BAJAJCON,Smallcap,FMCG,168.95,270.35,59,9968.05,15950.65,5982.60,,
06/06/25,HUBTOWN,Smallcap,Realty,210.50,328.80,48,10104.00,15782.40,5678.40,,
02/07/25,VSTTILLERS,Smallcap,Auto,3954.64,5675.00,3,11863.91,17025.00,5161.09,,
11/08/25,SHAILY,Midcap,Plastic products,1769.71,2622.80,6,10618.28,15736.80,5118.52,,
15/04/25,INTELLECT,Midcap,I.T,739.65,1089.70,14,10355.12,15255.80,4900.68,,
23/06/25,CHENNPETRO,Midcap,Energy,691.89,1029.00,14,9686.53,14406.00,4719.47,,
08/08/25,RATEGAIN,Midcap,I.T,484.00,700.70,21,10164.00,14714.70,4550.70,,
28/03/25,PUNJABCHEM,Smallcap,Chemicals,938.80,1310.20,11,10326.79,14412.20,4085.41,,
24/04/25,KIOCL,Largecap,Metals & Mining,277.10,382.00,36,9975.60,13752.00,3776.40,,
09/07/25,SAMMAANCAP,Midcap,Financials,127.89,176.14,78,9975.42,13738.92,3763.50,,
07/05/25,ENDURANCE,Largecap,Auto,2017.06,2686.20,5,10085.32,13431.00,3345.68,,
30/05/25,KALAMANDIR,Smallcap,Consumer Discretionary,126.81,168.50,79,10018.13,13311.50,3293.37,,
30/04/25,RRKABEL,Midcap,Industrials,1045.24,1373.20,10,10452.40,13732.00,3279.60,,
08/05/25,NRBBEARING,Smallcap,Industrials,218.69,287.10,46,10059.59,13206.60,3147.01,,
14/05/25,TEGA,Midcap,Industrials,1495.55,1935.60,7,10468.85,13549.20,3080.35,,
08/05/25,SHRIPISTON,Midcap,Auto,2095.69,2705.80,5,10478.45,13529.00,3050.55,,
07/08/25,SANGHVIMOV,Smallcap,Miscellaneous,281.88,368.85,35,9865.68,12909.75,3044.07,,
03/04/25,FAZE3Q,Smallcap,Textiles,399.20,512.40,25,9980.00,12810.00,2830.00,,
30/05/25,ETERNAL,Largecap,I.T,237.31,303.75,42,9967.02,12757.50,2790.48,,
15/05/25,KIRLOSENG,Midcap,Industrials,861.18,1092.05,12,10334.18,13104.60,2770.42,,
12/08/25,RICOAUTO,Smallcap,Auto,77.52,98.81,129,9999.74,12746.49,2746.75,,
20/10/25,RAJRATAN,Smallcap,Metals & Mining,381.00,473.25,26,9906.00,12304.50,2398.50,,
13/08/25,NYKAA,Largecap,I.T,214.81,260.13,47,10096.07,12226.11,2130.04,,
30/09/25,HATSUN,Largecap,FMCG,909.00,1092.90,11,9999.00,12021.90,2022.90,,
09/05/25,BORORENEW,Midcap,Building Materials,548.00,659.70,18,9864.00,11874.60,2010.60,,
23/06/25,MRPL,Largecap,Energy,144.10,171.83,69,9942.90,11856.27,1913.37,,
30/07/25,STARHEALTH,Largecap,Financials,440.95,522.45,23,10141.85,12016.35,1874.50,,
11/07/25,GLOBUSSPR,Smallcap,FMCG,1006.55,1193.30,10,10065.55,11933.00,1867.46,,
09/05/25,NDRAUTO,Smallcap,Auto,750.12,890.25,13,9751.60,11573.25,1821.65,,
21/08/25,RACLGEAR,Smallcap,Auto,937.75,1102.00,11,10315.25,12122.00,1806.75,,
16/05/25,JUBLPHARMA,Midcap,Healthcare,952.88,1131.40,10,9528.78,11314.00,1785.22,,
12/05/25,CENTRUM,Smallcap,Financials,28.15,33.04,355,9993.25,11729.20,1735.95,,
29/08/25,JINDALPHOT,Smallcap,Financials,1145.00,1337.00,9,10305.00,12033.00,1728.00,,
16/09/25,KIRLOSENG,Midcap,Industrials,938.40,1092.05,11,10322.40,12012.55,1690.15,,
29/07/25,ZUARIIND,Smallcap,FMCG,291.83,339.70,34,9922.12,11549.80,1627.68,,
10/11/25,INDIGOPNTS,Midcap,Building Materials,1123.05,1298.80,9,10107.45,11689.20,1581.75,,
15/04/25,SAILIFE,Midcap,Healthcare,753.65,871.95,13,9797.45,11335.35,1537.90,,
01/07/25,OLECTRA,Midcap,Auto,1220.71,1407.00,8,9765.65,11256.00,1490.35,,
11/07/25,SARDAEN,Midcap,Metals & Mining,452.07,518.05,22,9945.44,11397.10,1451.66,,
16/04/25,RML,Smallcap,Auto,716.96,817.35,14,10037.48,11442.90,1405.42,,
23/10/25,VAIBHAVGBL,Smallcap,Consumer Discretionary,232.84,265.10,43,10012.16,11399.30,1387.14,,
20/08/25,LATENTVIEW,Midcap,I.T,428.80,488.80,23,9862.40,11242.40,1380.00,,
19/08/25,MSUMI,Largecap,Auto,42.22,47.96,237,10006.14,11366.52,1360.38,,
22/04/25,RAJRATAN,Smallcap,Metals & Mining,419.65,473.25,24,10071.51,11358.00,1286.49,,
16/09/25,BBOX,Midcap,I.T,495.00,556.95,20,9900.00,11139.00,1239.00,,
13/05/25,TANLA,Midcap,I.T,548.59,610.55,18,9874.54,10989.90,1115.36,,
16/07/25,SHREDIGCEM,Smallcap,Building Materials,81.27,90.09,123,9996.59,11081.07,1084.48,,
08/07/25,MSPL,Smallcap,Metals & Mining,31.45,34.72,318,10001.10,11040.96,1039.86,,
12/09/25,GPPL,Midcap,Transportation,158.07,174.43,63,9958.60,10989.09,1030.49,,
15/04/25,FINOPB,Smallcap,Bank,255.80,282.00,39,9976.20,10998.00,1021.80,,
17/04/25,FUSION,Smallcap,Financials,155.11,170.94,64,9927.04,10940.16,1013.12,,
09/07/25,RELIGARE,Midcap,Financials,235.99,260.00,42,9911.58,10920.00,1008.42,,
24/03/25,SHARDAMOTR,Midcap,Auto,936.63,1025.80,11,10302.93,11283.80,980.87,,
12/08/25,ALKEM,Largecap,Healthcare,5240.00,5722.50,2,10480.00,11445.00,965.00,,
23/10/25,GRWRHITECH,Midcap,Industrials,3449.30,3760.90,3,10347.90,11282.70,934.80,,
13/11/25,SPANDANA,Smallcap,Financials,253.00,275.95,40,10120.00,11038.00,918.00,,
23/10/25,ICIL,Midcap,Textiles,285.40,309.05,35,9989.00,10816.75,827.75,,
09/09/25,UJJIVANSFB,Midcap,Bank,48.00,51.81,208,9984.00,10776.48,792.48,,
06/10/25,GLOBUSSPR,Smallcap,FMCG,1109.10,1193.30,9,9981.90,10739.70,757.80,,
13/11/25,AETHER,Midcap,Chemicals,780.90,838.90,13,10151.70,10905.70,754.00,,
22/07/25,RACLGEAR,Smallcap,Auto,1028.00,1102.00,10,10280.00,11020.00,740.00,,
27/03/25,ELECTHERM,Smallcap,Metals & Mining,842.25,898.55,12,10107.00,10782.60,675.60,,
25/06/25,STYLEBAAZA,Smallcap,Consumer Discretionary,289.40,308.20,35,10129.00,10787.00,658.00,,
24/04/25,MMTC,Midcap,Services,61.61,65.65,162,9980.82,10635.30,654.48,,
29/10/25,FIVESTAR,Midcap,Financials,606.00,643.90,17,10302.00,10946.30,644.30,,
22/09/25,BORORENEW,Midcap,Building Materials,620.00,659.70,16,9920.00,10555.20,635.20,,
16/04/25,RANEHOLDIN,Smallcap,Financials,1394.79,1484.90,7,9763.53,10394.30,630.77,,
20/08/25,GOODLUCK,Smallcap,Metals & Mining,1086.05,1152.20,9,9774.44,10369.80,595.36,,
21/04/25,MUTHOOTMF,Smallcap,Financials,161.16,170.59,62,9991.92,10576.58,584.66,,
25/07/25,AJMERA,Smallcap,Realty,932.16,985.30,11,10253.79,10838.30,584.51,,
18/06/25,JPOLYINVST,Smallcap,Financials,900.00,952.85,11,9900.00,10481.35,581.35,,
24/03/25,SANGAMIND,Smallcap,Textiles,426.86,451.95,23,9817.87,10394.85,576.98,,
23/10/25,VTL,Midcap,Textiles,427.90,452.80,23,9841.70,10414.40,572.70,,
12/11/25,RICOAUTO,Smallcap,Auto,93.60,98.81,107,10015.20,10572.67,557.47,,
12/05/25,IFGLEXPOR,Smallcap,Building Materials,221.68,234.02,45,9975.48,10530.90,555.42,,
25/04/25,BUTTERFLY,Smallcap,Consumer Discretionary,679.75,715.55,15,10196.25,10733.25,537.00,,
12/09/25,PUNJABCHEM,Smallcap,Chemicals,1243.20,1310.20,8,9945.60,10481.60,536.00,,
10/10/25,SANGAMIND,Smallcap,Textiles,428.95,451.95,23,9865.85,10394.85,529.00,,
11/11/25,BLISSGVS,Smallcap,Healthcare,154.00,161.75,65,10010.00,10513.75,503.75,,
03/04/25,AUROPHARMA,Largecap,Healthcare,1172.60,1222.50,9,10553.39,11002.50,449.11,,
11/11/25,VIKRAN,Smallcap,Industrials,104.50,108.97,96,10032.00,10461.12,429.12,,
07/08/25,STOVEKRAFT,Smallcap,Consumer Discretionary,617.17,643.15,16,9874.70,10290.40,415.70,,
23/10/25,BSOFT,Midcap,I.T,373.48,388.70,27,10083.87,10494.90,411.03,,
