symbol,tran_date,open_date,shares,sell,reason,last_sell_date,cond1,cond2,price,ema21,ema50,rsi10,x_date,x_price,hi_cls,hi_gain,hi_gain_ok,l3_below21,l3_red,day3_ema21,ema50_gap
BORORENEW,2026-08-26,2026-04-15,298,YES,Condition 2,2026-09-04,NO,YES,499.15,529.77,548.74,22.85,2026-04-23,511.05,651.65,27.51,NO,,,,-9.04
ABCAPITAL,2025-12-02,2025-04-11,190,NO,No sell conditions met,2025-02-14,NO,NO,404.9,404.83,398.69,50.03,2026-04-22,350.7,424.7,21.1,NO,,,,1.56
ACE,2026-04-20,2026-04-20,14,NO,No sell conditions met,2026-01-23,NO,NO,1125.4,1117.64,1072.09,51.35,2026-04-21,911.13,1182.63,29.8,NO,,,,4.97
AFFLE,2026-05-25,2026-05-25,11,NO,No sell conditions met,2026-02-26,NO,NO,1616.5,1622.56,1592.22,49.05,2026-07-13,1539.3,1740.0,13.04,NO,,,,1.53
ANANTRAJ,2026-04-20,2026-03-24,1495,NO,No sell conditions met,2026-03-17,NO,NO,625.45,611.26,595.15,59.15,2026-05-06,555.74,633.85,14.06,NO,,,,5.09
ASHAPURMIN,2026-04-20,2026-04-20,211,NO,No sell conditions met,2026-08-25,NO,NO,551.0,595.48,629.74,29.17,2026-04-28,648.1,740.6,14.27,NO,,,,-12.5
ATHERENERG,2026-08-26,2025-11-20,118,NO,No sell conditions met,,NO,NO,1584.0,1529.04,1381.77,55.91,2026-02-09,726.05,1725.6,137.67,YES,NO,NO,,14.64
AVALON,2026-08-26,2026-04-15,85,NO,No sell conditions met,2026-01-28,NO,NO,2196.6,2131.42,1945.35,54.28,,,,,,,,,12.92
BHARATSE,2026-02-10,2026-02-10,38,NO,No sell conditions met,2026-01-27,NO,NO,211.69,223.44,219.91,34.35,2026-02-17,210.58,252.99,20.14,NO,,,,-3.74
BSE,2026-07-20,2025-06-02,23,NO,No sell conditions met,2026-08-17,NO,NO,3409.8,3371.04,3500.95,54.03,2025-10-17,2479.07,4391.73,77.15,YES,NO,NO,,-2.6
