date,symbol,marketcapname,sector
25-03-2025,HEG,Midcap,Industrials
26-03-2025,ZFCVINDIA,Largecap,Auto
27-03-2025,MAHSCOOTER,Midcap,Financials
27-03-2025,GARFIBRES,Midcap,Textiles
01-04-2025,MAHSEAMLES,Midcap,Industrials
01-04-2025,VADILALIND,Smallcap,FMCG
03-04-2025,MANGCHEFER,Smallcap,Chemicals
03-04-2025,CSBBANK,Midcap,Bank
04-04-2025,KSCL,Midcap,FMCG
08-04-2025,CHOLAHLDNG,Largecap,Financials
09-04-2025,FAZE3Q,Smallcap,Textiles
11-04-2025,SARDAEN,Midcap,Metals & Mining
11-04-2025,STEELCAS,Smallcap,Industrials
15-04-2025,SAILIFE,Midcap,Healthcare
15-04-2025,HCG,Midcap,Healthcare
15-04-2025,DIAMONDYD,Smallcap,FMCG
17-04-2025,GUJTHEM,Smallcap,Healthcare
17-04-2025,ICEMAKE,Smallcap,Industrials
22-04-2025,SDBL,Smallcap,FMCG
22-04-2025,ASAHIINDIA,Largecap,Building Materials
22-04-2025,TBZ,Smallcap,Consumer Discretionary
23-04-2025,CHOICEIN,Midcap,Financials
23-04-2025,WAAREEENER,Largecap,Industrials
23-04-2025,NIVABUPA,Midcap,Financials
23-04-2025,TVSELECT,Smallcap,I.T
23-04-2025,SMSPHARMA,Smallcap,Healthcare
24-04-2025,BANARISUG,Smallcap,FMCG
24-04-2025,SAMHI,Smallcap,Services
24-04-2025,TRIVENI,Midcap,FMCG
24-04-2025,VSSL,Smallcap,Metals & Mining
25-04-2025,THYROCARE,Midcap,Healthcare
25-04-2025,SBILIFE,Largecap,Financials
28-04-2025,DCBBANK,Midcap,Bank
28-04-2025,RBLBANK,Midcap,Bank
28-04-2025,MANORAMA,Midcap,FMCG
28-04-2025,PARAS,Midcap,Aerospace & Defence
29-04-2025,COCHINSHIP,Largecap,Aerospace & Defence
29-04-2025,GRSE,Largecap,Aerospace & Defence
29-04-2025,PARAS,Midcap,Aerospace & Defence
30-04-2025,CEATLTD,Midcap,Auto
30-04-2025,VMM,Largecap,Consumer Discretionary
02-05-2025,FORCEMOT,Largecap,Auto
02-05-2025,MOIL,Midcap,Metals & Mining
02-05-2025,SPORTKING,Smallcap,Textiles
02-05-2025,NUVOCO,Midcap,Building Materials
05-05-2025,DLINKINDIA,Smallcap,Services
05-05-2025,PARAGMILK,Smallcap,FMCG
06-05-2025,CCL,Midcap,FMCG
06-05-2025,POLYMED,Midcap,Healthcare
07-05-2025,PEL,Largecap,Financials
07-05-2025,TNPETRO,Smallcap,Energy
07-05-2025,SANGAMIND,Smallcap,Textiles
07-05-2025,CCL,Midcap,FMCG
07-05-2025,ICIL,Midcap,Textiles
07-05-2025,KPRMILL,Largecap,Consumer Discretionary
08-05-2025,PRIVISCL,Midcap,Chemicals
08-05-2025,NIVABUPA,Midcap,Financials
08-05-2025,KPRMILL,Largecap,Consumer Discretionary
08-05-2025,SPAL,Smallcap,Textiles
08-05-2025,KRISHANA,Smallcap,Chemicals
09-05-2025,PREMEXPLN,Smallcap,Chemicals
09-05-2025,YESBANK,Largecap,Bank
09-05-2025,KPRMILL,Largecap,Consumer Discretionary
09-05-2025,APOLLO,Midcap,Aerospace & Defence
09-05-2025,CRAFTSMAN,Midcap,Auto
09-05-2025,SJS,Midcap,Auto
12-05-2025,MANINDS,Smallcap,Metals & Mining
12-05-2025,NDRAUTO,Smallcap,Auto
12-05-2025,MAPMYINDIA,Midcap,I.T
13-05-2025,BIRLACORPN,Midcap,Building Materials
13-05-2025,MANINDS,Smallcap,Metals & Mining
13-05-2025,CENTUM,Smallcap,Consumer Discretionary
13-05-2025,SUVEN,Smallcap,Healthcare
13-05-2025,TDPOWERSYS,Midcap,Industrials
13-05-2025,CARERATING,Smallcap,Financials
13-05-2025,BDL,Largecap,Aerospace & Defence
14-05-2025,DALMIASUG,Smallcap,FMCG
14-05-2025,INDORAMA,Smallcap,Textiles
14-05-2025,CEMPRO,Midcap,Realty
14-05-2025,HBLENGINE,Largecap,Auto
14-05-2025,SUVEN,Smallcap,Healthcare
14-05-2025,AIIL,Largecap,Financials
14-05-2025,COCHINSHIP,Largecap,Aerospace & Defence
14-05-2025,ONEPOINT,Smallcap,I.T
14-05-2025,MIDHANI,Midcap,Aerospace & Defence
15-05-2025,FOSECOIND,Smallcap,Chemicals
15-05-2025,TI,Midcap,FMCG
15-05-2025,NILKAMAL,Smallcap,Plastic products
15-05-2025,ASTRAMICRO,Midcap,Aerospace & Defence
15-05-2025,VASCONEQ,Smallcap,Realty
16-05-2025,UFLEX,Smallcap,Industrials
16-05-2025,SKFINDIA,Midcap,Industrials
16-05-2025,DHANUKA,Midcap,Chemicals
16-05-2025,EUREKAFORB,Midcap,Consumer Discretionary
16-05-2025,SANGAMIND,Smallcap,Textiles
16-05-2025,CLSEL,Smallcap,FMCG
16-05-2025,COCHINSHIP,Largecap,Aerospace & Defence
16-05-2025,RITES,Midcap,Miscellaneous
19-05-2025,GRAPHITE,Midcap,Industrials
19-05-2025,HEG,Midcap,Industrials
19-05-2025,DELHIVERY,Largecap,Transportation
19-05-2025,PRECWIRE,Smallcap,Metals & Mining
