date,symbol,marketcapname,sector,price,today,quantity,bought value,current value,pl,,,Actual Sell,pl,,
04/11/25,3MINDIA,Largecap,Miscellaneous,35885.00,35910.00,0,0.00,0.00,0.00,,no,,,,Buy only when 21 is crossing 50 or very near to it
15/07/25,AARTIDRUGS,Smallcap,Healthcare,531.05,463.45,19,10089.95,8805.55,-1284.40,,no,31.64,-9488.79,,Don’t sell until 6.5 % below 50 EMA
10/11/25,AARTIDRUGS,Smallcap,Healthcare,520.50,463.45,19,9889.50,8805.55,-1083.95,,no,4568.1,76904.40,,"Results to be posituve in all Sales, Profit and EPS"
30/06/25,AAVAS,Midcap,Financials,2093.10,1712.20,5,10465.50,8561.00,-1904.50,,no,,,,Don’t Buy if its already 5% above 50 EMA
06/06/25,ABREL,Midcap,Realty,2320.92,1744.60,4,9283.67,6978.40,-2305.27,,no,367.25,-7814.67,,
13/08/25,ACI,Midcap,Chemicals,693.05,627.55,14,9702.70,8785.70,-917.00,,no,,,,
03/04/25,MANGCHEFER,Smallcap,Chemicals,,,,,,,,,,,,
10/07/25,ACMESOLAR,Midcap,Realty,293.90,250.60,34,9992.60,8520.40,-1472.20,,no,,,,
22/09/25,ADANIGREEN,Largecap,Power & Utilities,1164.00,1068.80,9,10476.00,9619.20,-856.80,,no,,,,
29/10/25,ADANIGREEN,Largecap,Power & Utilities,1112.60,1068.80,9,10013.40,9619.20,-394.20,,,,,,
15/10/25,ADOR,Smallcap,Industrials,1194.00,1074.40,8,9552.00,8595.20,-956.80,,no,,,,
03/10/25,AEGISLOG,Largecap,Services,869.00,791.95,12,10428.00,9503.40,-924.60,,,,,,
19/06/25,AEROENTER,Smallcap,Metals & Mining,95.29,87.77,105,10005.32,9215.85,-789.47,,,,,,
09/09/25,AFFLE,Largecap,I.T,2090.00,1723.90,5,10450.00,8619.50,-1830.50,,,,,,
11/06/25,AFSL,Smallcap,Financials,254.64,215.39,39,9930.96,8400.21,-1530.75,,,,,,
22/07/25,AGI,Midcap,Industrials,965.70,786.85,10,9656.98,7868.50,-1788.48,,,,,,
15/07/25,AHLUCONT,Midcap,Realty,1112.32,882.90,9,10010.92,7946.10,-2064.82,,,,,,
25/06/25,AKUMS,Midcap,Healthcare,575.70,424.30,17,9786.90,7213.10,-2573.80,,,,,,
30/06/25,ALEMBICLTD,Smallcap,Realty,122.08,101.34,82,10010.79,8309.88,-1700.91,,,,,,
27/10/25,ALICON,Smallcap,Industrials,964.95,879.60,10,9649.50,8796.00,-853.50,,,,,,
09/07/25,ALICON,Smallcap,Industrials,946.73,879.60,11,10414.04,9675.60,-738.44,,,,,,
25/06/25,ALKYLAMINE,Midcap,Chemicals,2342.00,1775.60,4,9368.00,7102.40,-2265.60,,,,,,
20/06/25,ALKYLAMINE,Midcap,Chemicals,2048.37,1775.60,5,10241.85,8878.00,-1363.85,,,,,,
16/07/25,ALLCARGO,Smallcap,Transportation,38.15,13.09,262,9995.30,3429.58,-6565.72,,,,,,
15/07/25,ALLCARGO,Smallcap,Transportation,35.56,13.09,281,9992.36,3678.29,-6314.07,,,,,,
08/07/25,ALOKINDS,Midcap,Textiles,22.00,17.31,455,10010.00,7876.05,-2133.95,,,,,,
17/07/25,ALOKINDS,Midcap,Textiles,21.00,17.31,476,9996.00,8239.56,-1756.44,,,,,,
10/06/25,ALOKINDS,Midcap,Textiles,20.86,17.31,479,9991.94,8291.49,-1700.45,,,,,,
14/10/25,ANANDRATHI,Largecap,Financials,3162.87,3022.30,3,9488.62,9066.90,-421.72,,,,,,
19/09/25,ANANTRAJ,Largecap,Realty,644.40,616.10,16,10310.40,9857.60,-452.80,,,,,,
03/10/25,ANDHRAPAP,Smallcap,Building Materials,86.40,70.31,116,10022.40,8155.96,-1866.44,,,,,,
06/11/25,ANDHRSUGAR,Smallcap,Chemicals,82.40,80.87,121,9970.40,9785.27,-185.13,,,,,,
29/07/25,APARINDS,Largecap,Industrials,9710.00,9071.00,1,9710.00,9071.00,-639.00,,,,,,
30/06/25,APLLTD,Midcap,Healthcare,1013.53,904.05,10,10135.32,9040.50,-1094.82,,,,,,
19/05/25,APLLTD,Midcap,Healthcare,1008.74,904.05,10,10087.35,9040.50,-1046.85,,,,,,
13/08/25,APOLLOHOSP,Largecap,Healthcare,7819.99,7420.50,1,7819.99,7420.50,-399.49,,,,,,
23/05/25,APOLLOPIPE,Smallcap,Plastic products,476.18,301.85,21,9999.70,6338.85,-3660.85,,,,,,
23/10/25,ARIHANTCAP,Smallcap,Financials,114.57,100.33,87,9967.59,8728.71,-1238.88,,,,,,
27/10/25,ARIHANTCAP,Smallcap,Financials,107.37,100.33,93,9985.41,9330.69,-654.72,,,,,,
22/07/25,ARIHANTCAP,Smallcap,Financials,104.01,100.33,96,9985.07,9631.68,-353.39,,,,,,
22/09/25,ARISINFRA,Smallcap,Services,171.00,154.04,58,9918.00,8934.32,-983.68,,,,,,
12/11/25,ARTEMISMED,Smallcap,Healthcare,270.15,268.89,37,9995.55,9948.93,-46.62,,,,,,
29/07/25,ARVINDFASN,Midcap,Services,541.23,500.55,18,9742.11,9009.90,-732.21,,,,,,
30/10/25,ASALCBR,Smallcap,FMCG,1205.80,981.40,8,9646.40,7851.20,-1795.20,,,,,,
24/09/25,ASKAUTOLTD,Midcap,Auto,567.30,468.15,18,10211.40,8426.70,-1784.70,,,,,,
