Symbol,Transaction Date,Total Shares
AMZN,15 September 2022,0.48495847
AMZN,03 October 2022,1.52180094
AMZN,31 October 2022,2.35645991
AMZN,01 December 2022,3.25729032
AMZN,12 January 2023,4.16285265
AMZN,03 May 2023,5.80458135
AMZN,09 June 2023,5.81440121
AMZN,03 July 2023,8.43138765
AMZN,12 December 2024,8.44062094
AMZN,10 January 2025,8.44754564
AMZN,13 March 2025,8.458566986
CRM,03 October 2022,0.84102056
CRM,31 October 2022,1.36364079
CRM,01 December 2022,1.96079712
CRM,12 January 2023,2.54647525
CRM,03 May 2023,3.43400001
CRM,03 July 2023,5.06568403
CRM,20 March 2024,5.07202487
CRM,11 April 2024,5.07710373
CRM,16 May 2024,5.08094599
CRM,07 August 2024,5.08642683
CRM,07 November 2024,5.09237083
GOOG,15 September 2022,0.58953294
GOOG,03 October 2022,1.79889339
GOOG,31 October 2022,2.69771752
GOOG,01 December 2022,3.54746855
GOOG,12 January 2023,4.48500258
GOOG,03 May 2023,6.10945771
GOOG,03 July 2023,8.97026493
GOOG,14 August 2023,8.98393464
GOOG,18 September 2023,9.00392199
GOOG,13 June 2024,9.01467359
GOOG,18 June 2024,9.02227306
AAPL,15 September 2022,0.40242364
AAPL,03 October 2022,1.24578359
AAPL,31 October 2022,1.80091101
AAPL,01 December 2022,2.384748
AAPL,12 January 2023,3.03307466
AAPL,03 May 2023,4.04835196
AAPL,03 July 2023,5.83540857
AAPL,10 November 2023,5.84479809
AAPL,21 November 2023,5.85022975
AAPL,18 December 2023,5.85996085
AAPL,15 February 2024,5.87536165
AAPL,25 July 2024,5.88459974
AAPL,16 August 2024,5.88947783
AAPL,15 November 2024,5.89436963
AAPL,18 December 2024,5.89964713
AAPL,17 March 2025,5.905908344
MSFT,15 September 2022,0.25021793
MSFT,03 October 2022,0.75045971
MSFT,31 October 2022,1.11644779
MSFT,01 December 2022,1.45607949
MSFT,12 January 2023,1.81737106
MSFT,03 May 2023,2.38446319
MSFT,03 July 2023,3.40356334
MSFT,12 September 2024,3.40804844
MSFT,19 February 2025,3.412375243
ASML,15 September 2022,0.13163594
ASML,31 October 2022,0.31147759
ASML,01 December 2022,0.4528741
ASML,12 January 2023,0.58575242
ASML,23 February 2023,0.58778487
ASML,03 May 2023,0.86016932
ASML,24 May 2023,0.86265486
ASML,03 July 2023,1.33467129
ASML,08 October 2024,1.33652119
ANET,01 November 2022,2.88409616
ANET,01 December 2022,5.35926564
ANET,12 January 2023,8.31587996
ANET,03 May 2023,13.44445776
ANET,03 July 2023,22.12186692
ANET,08 May 2024,22.15279504
ANET,17 September 2024,22.16740152
ANET,14 February 2025,22.17740712
ANET,24 April 2025,22.1985256
ANET,07 May 2025,22.22640205
ANET,15 May 2025,22.23844141
ANET,13 June 2025,22.26119503
